,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,32LAQ1JNUDDOC3SUCLNV3SVT0JQUT9,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3BC8WZX3V8KM2GKFV4SWNM3D4XQRRY,AOWLCXNXCSQAC,Submitted,2020-05-28 12:58:08,2020-05-28 13:00:52,Sun May 31 13:00:52 PDT 2020,,,,164,100% (455/455),100% (455/455),100% (455/455),cnndm6784,bart_out,"['1232', '1233', '1234', '1235', '1236', '1237', '1238', '1239', '1240', '1241', '1242', '1243', '1244', '1245', '1246', '1247']","HBO has launched its HBO NOW channel on the Apple TV set - top box , iPhone and iPad . Service is available in the US for $ 14.99 ( £ 9.90 ) a month , and will includes all past , present and future HBO programming . It comes as Apple is believed to be preparing a new version of the TV box that can run apps for a June launch .",HBO is a US based network.,HBO is the network behind Game of Thrones,HBO is the network behind the Sopranos.,HBO service is available on Apple TV.,HBO service is available on IOS,HBO service is available exclusively for three months.,Apple has also cut the price of Apple TV.,The Apple TV price was 99.,The Apple TV price now is 65 to 69.,HBO service is available exclusively on Apple TV and IOS.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
1,32LAQ1JNUDDOC3SUCLNV3SVT0JQUT9,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3U5NZHP4LWQO19QXM7CD4N1SG68HP3,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:18:33,2020-05-28 13:21:01,Sun May 31 13:21:01 PDT 2020,,,,148,100% (411/411),100% (411/411),100% (411/411),cnndm6784,bart_out,"['1232', '1233', '1234', '1235', '1236', '1237', '1238', '1239', '1240', '1241', '1242', '1243', '1244', '1245', '1246', '1247']","HBO has launched its HBO NOW channel on the Apple TV set - top box , iPhone and iPad . Service is available in the US for $ 14.99 ( £ 9.90 ) a month , and will includes all past , present and future HBO programming . It comes as Apple is believed to be preparing a new version of the TV box that can run apps for a June launch .",HBO is a US based network.,HBO is the network behind Game of Thrones,HBO is the network behind the Sopranos.,HBO service is available on Apple TV.,HBO service is available on IOS,HBO service is available exclusively for three months.,Apple has also cut the price of Apple TV.,The Apple TV price was 99.,The Apple TV price now is 65 to 69.,HBO service is available exclusively on Apple TV and IOS.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
3,3HFWPF5ALD73Y92W81M46E97LNSS3A,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,32SVAV9L3KX2KXDWI35EAYBNYFUA3D,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:36:36,2020-05-28 13:39:19,Sun May 31 13:39:19 PDT 2020,,,,163,100% (411/411),100% (411/411),100% (411/411),cnndm9590,bart_out,"['960', '961', '962', '963', '964', '965', '966', '967', '968', '969', '970', '971', '972', '973', '974', '975']","Alexandra Harra , 28 , is a life coach and author with a curvy figure and dyed black hair . She has been dubbed ` The Romanian Kim Kardashian ' after appearing on the cover of Playboy . The model recently dyed her hair black to make her look more like the reality star . Her derriere measures 43 inches , while Kardashian's is just 40 inches .",Alexandra Harra is Romanian born,Alexandra Harra is 28,Alexandra Harra has become an Instagram star.,Alexandra Harra posed for playboy.,Alexandra Harra is a model.,Alexandra Harra posts selfies on Instagram.,Alexandra Harra selfie's have inspirational messages.,Alexandra Harra dyed his locks black.,Alexandra Harra is being hailed as a rival to Kim Kardashian.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
4,3HFWPF5ALD73Y92W81M46E97LNSS3A,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,384PI804XXPA310TGG9MT07MH9E0S1,AOWLCXNXCSQAC,Submitted,2020-05-28 13:20:08,2020-05-28 13:22:13,Sun May 31 13:22:13 PDT 2020,,,,125,100% (455/455),100% (455/455),100% (455/455),cnndm9590,bart_out,"['960', '961', '962', '963', '964', '965', '966', '967', '968', '969', '970', '971', '972', '973', '974', '975']","Alexandra Harra , 28 , is a life coach and author with a curvy figure and dyed black hair . She has been dubbed ` The Romanian Kim Kardashian ' after appearing on the cover of Playboy . The model recently dyed her hair black to make her look more like the reality star . Her derriere measures 43 inches , while Kardashian's is just 40 inches .",Alexandra Harra is Romanian born,Alexandra Harra is 28,Alexandra Harra has become an Instagram star.,Alexandra Harra posed for playboy.,Alexandra Harra is a model.,Alexandra Harra posts selfies on Instagram.,Alexandra Harra selfie's have inspirational messages.,Alexandra Harra dyed his locks black.,Alexandra Harra is being hailed as a rival to Kim Kardashian.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
5,3HFWPF5ALD73Y92W81M46E97LNSS3A,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3A0EX8ZRNDC8JAFCD2Y0V3R6PYXYBP,A3HII8DX9SINOU,Submitted,2020-05-28 12:28:38,2020-05-28 12:29:48,Sun May 31 12:29:48 PDT 2020,,,,70,100% (85/85),100% (85/85),100% (85/85),cnndm9590,bart_out,"['960', '961', '962', '963', '964', '965', '966', '967', '968', '969', '970', '971', '972', '973', '974', '975']","Alexandra Harra , 28 , is a life coach and author with a curvy figure and dyed black hair . She has been dubbed ` The Romanian Kim Kardashian ' after appearing on the cover of Playboy . The model recently dyed her hair black to make her look more like the reality star . Her derriere measures 43 inches , while Kardashian's is just 40 inches .",Alexandra Harra is Romanian born,Alexandra Harra is 28,Alexandra Harra has become an Instagram star.,Alexandra Harra posed for playboy.,Alexandra Harra is a model.,Alexandra Harra posts selfies on Instagram.,Alexandra Harra selfie's have inspirational messages.,Alexandra Harra dyed his locks black.,Alexandra Harra is being hailed as a rival to Kim Kardashian.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,n,p,p,n,n,p,p,{},,
7,367O8HRHLKWOG5L08FRNGJ1DZNOS4V,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3XLBSAQ9Z90LMOMRW7O348ECC2QZ7B,A3HII8DX9SINOU,Submitted,2020-05-28 13:58:35,2020-05-28 14:42:17,Sun May 31 14:42:17 PDT 2020,,,,2622,100% (85/85),100% (85/85),100% (85/85),cnndm6714,bart_out,"['272', '273', '274', '275', '276', '277', '278', '279', '280', '281', '282', '283', '284', '285', '286', '287']","General Motors has unveiled the Chevrolet - FNR car at the Shanghai General Motors Gala Night . It has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' The car is self - driving , electric , and the front chairs can swivel round . And using iris recognition software you can start it using only your eyes . Chevrolet said the car offered a ` glimpse at mobility of the future ' . It was developed in Shanghai by GM's Pan Asia Technical Automotive Centre ( PATAC ) joint venture . Chevrolet notes that the car is just a concept , so there is no release date or planned production date yet .",General Motors unveiled their concept car.,General Motors unveiled their car at an event in Shanghai.,Chevrolet - Fnr has Dragonfly Swing doors.,Chevrolet - Fnr has Crystal Laser headlights.,The car is self driving.,The car is electric.,The car's front chairs can swivel round.,The car can be started using just your eyes.,The car can be started using Iris recognition software.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
8,367O8HRHLKWOG5L08FRNGJ1DZNOS4V,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3YDGXNSEO4I9J53LLJQJOCXYMRT48R,AWPRKXU5UNLMN,Submitted,2020-05-28 13:54:33,2020-05-28 13:54:40,Sun May 31 13:54:40 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),cnndm6714,bart_out,"['272', '273', '274', '275', '276', '277', '278', '279', '280', '281', '282', '283', '284', '285', '286', '287']","General Motors has unveiled the Chevrolet - FNR car at the Shanghai General Motors Gala Night . It has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' The car is self - driving , electric , and the front chairs can swivel round . And using iris recognition software you can start it using only your eyes . Chevrolet said the car offered a ` glimpse at mobility of the future ' . It was developed in Shanghai by GM's Pan Asia Technical Automotive Centre ( PATAC ) joint venture . Chevrolet notes that the car is just a concept , so there is no release date or planned production date yet .",General Motors unveiled their concept car.,General Motors unveiled their car at an event in Shanghai.,Chevrolet - Fnr has Dragonfly Swing doors.,Chevrolet - Fnr has Crystal Laser headlights.,The car is self driving.,The car is electric.,The car's front chairs can swivel round.,The car can be started using just your eyes.,The car can be started using Iris recognition software.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,n,{},,
10,3KA7IJSNXATBOCQHVDXGTS28MVYPBI,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3NAPMVF0Z13VGDJF70FPHX45RT972T,A8UI77795LTGF,Submitted,2020-05-28 12:10:58,2020-05-28 13:29:49,Sun May 31 13:29:49 PDT 2020,,,,4731,100% (60/60),100% (60/60),100% (60/60),cnndm7584,bart_out,"['912', '913', '914', '915', '916', '917', '918', '919', '920', '921', '922', '923', '924', '925', '926', '927']","Huma Abedin , 38 , was spotted with her husband , disgraced former congressman Anthony Weiner , and two - year - old son Jordan at quaint Tortaria in New York on Saturday . It is just a few days after Abedin and Hillary Clinton were spotted in an Iowa branch of fast food favorite Chipotle - and Clinton failed to pay a tip .",Huma Abedin came under fire.,Huma Abedin did not tip.,The lunch was at Chipotle was in Iowa.,Not tipping was the reason for the criticism.,Huma Abedin is Hillary Clinton's most trusted aide.,Huma Abedin is Hillary Clinton's aide for the 2016 campaign.,Huma Abedin's husband is Anthony Weiner.,The lunch was Mexican.,The lunch was on Saturday.,Huma Abedin went for lunch.,Husband / Anthony Weiner went for lunch.,The weekend was one of their final weekends before the campaign gets into swing.,The not tipping occurred at Chipotle.,BLANK,BLANK,BLANK,p,p,n,p,n,n,n,n,n,p,p,n,n,p,n,p,{},,
11,3KA7IJSNXATBOCQHVDXGTS28MVYPBI,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3WJ1OXY92F4OLUJ2UK0A1FJYE1EA8X,A3P7QP6K56ED2Z,Submitted,2020-05-28 12:55:26,2020-05-28 13:00:18,Sun May 31 13:00:18 PDT 2020,,,,292,100% (411/411),100% (411/411),100% (411/411),cnndm7584,bart_out,"['912', '913', '914', '915', '916', '917', '918', '919', '920', '921', '922', '923', '924', '925', '926', '927']","Huma Abedin , 38 , was spotted with her husband , disgraced former congressman Anthony Weiner , and two - year - old son Jordan at quaint Tortaria in New York on Saturday . It is just a few days after Abedin and Hillary Clinton were spotted in an Iowa branch of fast food favorite Chipotle - and Clinton failed to pay a tip .",Huma Abedin came under fire.,Huma Abedin did not tip.,The lunch was at Chipotle was in Iowa.,Not tipping was the reason for the criticism.,Huma Abedin is Hillary Clinton's most trusted aide.,Huma Abedin is Hillary Clinton's aide for the 2016 campaign.,Huma Abedin's husband is Anthony Weiner.,The lunch was Mexican.,The lunch was on Saturday.,Huma Abedin went for lunch.,Husband / Anthony Weiner went for lunch.,The weekend was one of their final weekends before the campaign gets into swing.,The not tipping occurred at Chipotle.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
12,3RHLQY6EEXSIEG2IBPWYLKFDYKF4DE,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,37TD41K0AMXUXTV9SW26O19NQYWCSR,A59L67EZKMC3V,Submitted,2020-05-28 11:51:43,2020-05-28 12:20:56,Sun May 31 12:20:56 PDT 2020,,,,1753,100% (69/69),100% (69/69),100% (69/69),cnndm5576,bart_out,"['1392', '1393', '1394', '1395', '1396', '1397', '1398', '1399', '1400', '1401', '1402', '1403', '1404', '1405', '1406', '1407']",Cesc Fabregas took to Instagram to show off the shiner he picked up from Charlie Adam . The Chelsea midfielder was caught in the face by the Stoke City midfielder's flailing arm . Jose Mourinho's side extended their lead at the top of the Premier League to seven points .,Cesc Fabregas plays for Chelsea,Charlie Adam plays for Stoke City,Cesc Fabregas used to play for Barcelona,Charlie Adam injured Cesc Fabregas,Chelsea won against Stoke City,The match was at Chelsea's home,Charlie Adam is a midfielder,Charlie Adam scored a goal in the match,Cesc Fabregas posted on instagram,Cesc Fabregas had bruises.,Cesc Fabregas was smiling in the instagram post,Charlie Adam's arm was trailing.,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,n,p,n,p,{},,
13,3RHLQY6EEXSIEG2IBPWYLKFDYKF4DE,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3STRJBFXO1FDVRKC99OUMPIHXQPKT7,A13GUTDMGGZZDL,Submitted,2020-05-28 12:31:58,2020-05-28 12:33:00,Sun May 31 12:33:00 PDT 2020,,,,62,100% (47/47),100% (47/47),100% (47/47),cnndm5576,bart_out,"['1392', '1393', '1394', '1395', '1396', '1397', '1398', '1399', '1400', '1401', '1402', '1403', '1404', '1405', '1406', '1407']",Cesc Fabregas took to Instagram to show off the shiner he picked up from Charlie Adam . The Chelsea midfielder was caught in the face by the Stoke City midfielder's flailing arm . Jose Mourinho's side extended their lead at the top of the Premier League to seven points .,Cesc Fabregas plays for Chelsea,Charlie Adam plays for Stoke City,Cesc Fabregas used to play for Barcelona,Charlie Adam injured Cesc Fabregas,Chelsea won against Stoke City,The match was at Chelsea's home,Charlie Adam is a midfielder,Charlie Adam scored a goal in the match,Cesc Fabregas posted on instagram,Cesc Fabregas had bruises.,Cesc Fabregas was smiling in the instagram post,Charlie Adam's arm was trailing.,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,n,p,n,p,{},,
14,3RHLQY6EEXSIEG2IBPWYLKFDYKF4DE,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,3YJ6NA41JG4KSFLNA7FYG0H7TYYPJ2,A101U3FTZYY87V,Submitted,2020-05-28 11:52:24,2020-05-28 11:54:06,Sun May 31 11:54:06 PDT 2020,,,,102,100% (55/55),100% (55/55),100% (55/55),cnndm5576,bart_out,"['1392', '1393', '1394', '1395', '1396', '1397', '1398', '1399', '1400', '1401', '1402', '1403', '1404', '1405', '1406', '1407']",Cesc Fabregas took to Instagram to show off the shiner he picked up from Charlie Adam . The Chelsea midfielder was caught in the face by the Stoke City midfielder's flailing arm . Jose Mourinho's side extended their lead at the top of the Premier League to seven points .,Cesc Fabregas plays for Chelsea,Charlie Adam plays for Stoke City,Cesc Fabregas used to play for Barcelona,Charlie Adam injured Cesc Fabregas,Chelsea won against Stoke City,The match was at Chelsea's home,Charlie Adam is a midfielder,Charlie Adam scored a goal in the match,Cesc Fabregas posted on instagram,Cesc Fabregas had bruises.,Cesc Fabregas was smiling in the instagram post,Charlie Adam's arm was trailing.,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,n,p,n,p,{},,
15,3YZ7A3YHS9H6COP0MKAXLB7RZJJS50,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:48:21 PDT 2020,3,BatchId:4057883;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:48:21 PDT 2020,,,320DUZ38GCAEF2SO7OPBMR3FS7FGJT,A1A3J5IXCM8A7X,Submitted,2020-05-28 12:21:04,2020-05-28 12:24:12,Sun May 31 12:24:12 PDT 2020,,,,188,100% (222/222),100% (222/222),100% (222/222),cnndm11351,bart_out,"['1328', '1329', '1330', '1331', '1332', '1333', '1334', '1335', '1336', '1337', '1338', '1339', '1340', '1341', '1342', '1343']","Fan site AppleInsider has spotted nine job listings on Apple's official recruitment site . These include one for an iOS battery life software engineer and another for iOS software power systems engineer . Apple's iPhone 6 and 6 Plus have been found to last about eight hours with heavy usage and up to 22 hours with normal usage - although its difficult to quantify what ` normal usage ' is . Apple also said its new 12-inch MacBook uses 30 per cent less energy than the previous model and could last more than nine hours on a single charge . However , official figures suggest its Watch in particular will struggle to last for anywhere near that long .",Appleinsider spotted nine listings,Appleinsider spotted listings last month,Appleinsider spotted listings related to batteries,The listings include one for an IOS Battery Life Software Engineer,The listings include one for an IOS Software Power Systems Engineer,Appled improved battery life,The battery life of iphone 6 was improved,The battery life of iphone 6 plus was improved,Apple has been criticized for phones,Apple has been criticized for tablets,The criticism includes that phones don't last a day,The criticism includes that tablets don't last a day,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
