,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3UDTAB6HIANPC270G84UNL6AQJG091,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3CP1TO84PYPGT95WJ70SJDQ900N258,A3PYB8Z6FFWSOV,Submitted,2020-05-24 01:48:29,2020-05-24 02:00:54,Wed May 27 02:00:54 PDT 2020,,,,745,0% (0/0),0% (0/0),0% (0/0),cnndm10721,presumm_out_ext_abs,"['800', '801', '802', '803', '804', '805', '806', '807', '808', '809', '810', '811', '812', '813', '814', '815']","Roy Keane gave Sunderland the lead against Aston Villa on December 15 , 2007 . The former Manchester United midfielder delivered a bizarre team talk . Higginbotham described Keane's attempt to motivate his players . Higginbotham said Keane once demanded for him to swear at and criticise his team - mates instead of getting behind them .",Danny Higginbotham has a new book .,Danny Higginbotham spent time under Roy Keane.,The book covers Danny Higginbotham's time under Roy Keane .,Danny Higginbotham played for Sunderland.,Sunderland was Roy Keane's team.,Danny Higginbotham played for Sunderland during the 2007 - 08 season,Roy Keane told his players ` basically you 're s *** '.,Roy Keane told his players ` basically you 're s *** ' before a game with Aston Villa.,Roy Keane told one player he was ` not f ****** Good Enough ' to play for the club .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,{},,
2,3GL25Y6857ICGCW58TX61LZ50P7XMR,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,38F5OAUN5S0ZV3MXQLIW41A7GPUH7E,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:33:06,2020-05-24 00:34:35,Wed May 27 00:34:35 PDT 2020,,,,89,0% (0/0),0% (0/0),0% (0/0),cnndm5244,presumm_out_ext_abs,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",Ben Flower does not believe he deserved the standing ovation which greeted his return from suspension on Thursday night . The Wales forward made his first appearance since he punched St Helens ' Lance Hohaia in the opening moments of last season's Grand Final . The 27 - year - old came on as a substitute in the 23rd minute of Thursday's match .,Ben Flower was banned for 6 months.,Ben Flower returned from ban.,Ben Flower returned on Thursday night.,Ben Flower is a forward.,Ben Flower plays for Wales.,Ben Flower had punched Lance Hohaia.,Lance Hohaia plays for St Helens,Ben Flower had punched in last season's grand final.,Ben Flower had punched in the opening moments of a match.,Ben Flower is a 27 year old.,Ben Flower received a brilliant reception.,Wigan played against Warrington.,Wigan won 30 - 20.,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,n,p,p,p,p,p,p,p,p,{},,
5,3ZG552ORBQSU5JNHYWD4YROME9IV2V,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3OJSZ2ATDXKNFA22PJHNF47HBG457M,AOWLCXNXCSQAC,Submitted,2020-05-24 00:44:03,2020-05-24 00:48:57,Wed May 27 00:48:57 PDT 2020,,,,294,0% (0/0),0% (0/0),0% (0/0),cnndm11049,presumm_out_ext_abs,"['96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111']","Mercedes - Benz Fashion Week Australia came to a close with the Johanna Johnson show . Make - up trends and accessories threatened to overshadow many of the designs being showcased . Femail takes note of the trends emerging from the shows , the beauty looks and trends we won't try any time soon .",Fashion Week was in Australia.,Mercedes-Benz Fashion Week was in Australia.,Fashion week was in 2015.,Fashion week ended on Thursday night.,Fashion week ended in Sydney.,Maticevski was a stand-out show.,Romance was born was a stand-out show.,Tome was a stand-out show.,Steven Khalil was a stand-out show.,Johanna Johnson was a stand-out show.,Sheer fabrics were recurring trends.,Metallic fabrics were recurring trends.,Slouchy silhouettes were recurring trends.,Voluminous silhouettes were recurring trends.,BLANK,BLANK,n,n,p,n,n,n,n,p,n,n,p,n,p,n,n,n,{},,
6,3OWZNK3RZPDUS4YHT63Z25M302A2UE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3I3WADAZ9VSU0GU165YPQQTC15D5OB,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:28:53,2020-05-24 00:35:34,Wed May 27 00:35:34 PDT 2020,,,,401,0% (0/0),0% (0/0),0% (0/0),cnndm10231,presumm_out_ext_abs,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The incident occurred shortly after a faceoff during the first period of Tuesday's game between the Red Wings and the Senators . While battling for the puck , Ottawa's Mark Stone lost his balance and lifted his right skate backwards in an arc , catching Miller just under his visor .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
7,3OWZNK3RZPDUS4YHT63Z25M302A2UE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3KYQYYSHY0VP4T9ULBG8O2H4EM3DOJ,A12ATVBE1I4567,Submitted,2020-05-23 23:00:05,2020-05-23 23:23:00,Tue May 26 23:23:00 PDT 2020,,,,1375,0% (0/0),0% (0/0),0% (0/0),cnndm10231,presumm_out_ext_abs,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The incident occurred shortly after a faceoff during the first period of Tuesday's game between the Red Wings and the Senators . While battling for the puck , Ottawa's Mark Stone lost his balance and lifted his right skate backwards in an arc , catching Miller just under his visor .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,{},,
9,3IVKZBIBK4XISH9VNMB6A8AH4O6SH5,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3L2IS5HSFF6T3AK46R6KJDLNACWUNY,A19LVWX8ZLO6CS,Submitted,2020-05-23 23:45:55,2020-05-23 23:46:49,Tue May 26 23:46:49 PDT 2020,,,,54,0% (0/0),0% (0/0),0% (0/0),cnndm8565,presumm_out_ext_abs,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Godfrey Elfwick was recruited to talk on the BBC World Service Programme . He tweeted about never having seen the films and said Darth Vader listens to rap music . The BBC has apologised and admitted the fell victim to a hoaxer . He said the Old Star Wars films are full of social problems ` rooted in homophobia and casual racial sterotypes ' .,Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,{},,
10,3MVY4USGCABIOCKFT4TRAKBW41LSIY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,320DUZ38GCAEF2SO7OPBMR3FSKKGJO,A3P7QP6K56ED2Z,Submitted,2020-05-24 01:05:34,2020-05-24 01:14:22,Wed May 27 01:14:22 PDT 2020,,,,528,0% (0/0),0% (0/0),0% (0/0),cnndm8815,presumm_out_ext_abs,"['176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191']","Simon Wood , 38 , from Oldham , won masterchef Last Friday . Hasn't been on a single cookery course or had one lesson . Learned from reading and watching programmes and watching TV . Learnt from Reading recipe books or watching television shows .",Simon Wood was 38 years old.,Simon Wood was from Oldham.,Simon Wood won Masterchef.,Simon Wood won Masterchef last Friday.,Simon Wood was a father of four.,Simon Wood got cooking skills.,Simon Wood fed his culinary creations to his kids.,Simon Wood was an award winning chef.,Simon Wood talked about his favourite meals.,One of Simon Wood's favourite meals was a plain omelette.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
12,38DCH97KILQ267P8JIPMRLBVZSPQJJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,31EUONYN20RBYA9GCWG2UONBETFVO8,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:39:17,2020-05-24 00:42:29,Wed May 27 00:42:29 PDT 2020,,,,192,0% (0/0),0% (0/0),0% (0/0),cnndm1492,presumm_out_ext_abs,"['1152', '1153', '1154', '1155', '1156', '1157', '1158', '1159', '1160', '1161', '1162', '1163', '1164', '1165', '1166', '1167']","Phil Smith , 25 , scaled a fence to try to get in his flat in Cottingham , Hull , but fell and hit his head . He was placed in a medically induced coma at Hull Royal Infirmary , but died five days later . His mother Lisa Darnbrough , 49 , paid tribute to their ` Lovely Son ' who had a ` natural talent with children ' .",Phil Smith is 25.,Phil Smith forgot his keys.,Phil Smith scaled a fence.,Phil Smith scaled the fence to try to get in his flat.,Phil Smith is a teaching assistant.,Phil Smith/teaching assistant was climbing through a window.,Phil Smith/teaching assistant fell and hit his head.,Phil Smith/teaching assistant fell while climbing through a window.,Phil Smith/teaching assistant  fractured his skull.,Phil Smith/teaching assistant suffered a bleed on the brain.,Phil Smith/teaching assistant suffered a blood clot.,Parents paid tribute to Phil Smith.,Parents refer to Phil Smith as ' Lovely Son '.,Phil Smith/teaching assistant worked at Special Needs School.,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
13,38DCH97KILQ267P8JIPMRLBVZSPQJJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,3VD82FOHKVCFZ13GLFLX4WZMTM1OC4,AOWLCXNXCSQAC,Submitted,2020-05-24 00:58:49,2020-05-24 01:04:36,Wed May 27 01:04:36 PDT 2020,,,,347,0% (0/0),0% (0/0),0% (0/0),cnndm1492,presumm_out_ext_abs,"['1152', '1153', '1154', '1155', '1156', '1157', '1158', '1159', '1160', '1161', '1162', '1163', '1164', '1165', '1166', '1167']","Phil Smith , 25 , scaled a fence to try to get in his flat in Cottingham , Hull , but fell and hit his head . He was placed in a medically induced coma at Hull Royal Infirmary , but died five days later . His mother Lisa Darnbrough , 49 , paid tribute to their ` Lovely Son ' who had a ` natural talent with children ' .",Phil Smith is 25.,Phil Smith forgot his keys.,Phil Smith scaled a fence.,Phil Smith scaled the fence to try to get in his flat.,Phil Smith is a teaching assistant.,Phil Smith/teaching assistant was climbing through a window.,Phil Smith/teaching assistant fell and hit his head.,Phil Smith/teaching assistant fell while climbing through a window.,Phil Smith/teaching assistant  fractured his skull.,Phil Smith/teaching assistant suffered a bleed on the brain.,Phil Smith/teaching assistant suffered a blood clot.,Parents paid tribute to Phil Smith.,Parents refer to Phil Smith as ' Lovely Son '.,Phil Smith/teaching assistant worked at Special Needs School.,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,p,p,p,n,n,n,{},,
14,3X878VYTJI6CVNYX4TPVCW281VH7F0,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 19:01:26 PDT 2020,2,BatchId:4050589;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 19:01:26 PDT 2020,,,32ZKVD547KB737IOOH5A59VTGAW3B8,A12ATVBE1I4567,Submitted,2020-05-23 23:08:59,2020-05-23 23:32:09,Tue May 26 23:32:09 PDT 2020,,,,1390,0% (0/0),0% (0/0),0% (0/0),cnndm5576,presumm_out_ext_abs,"['1392', '1393', '1394', '1395', '1396', '1397', '1398', '1399', '1400', '1401', '1402', '1403', '1404', '1405', '1406', '1407']",Cesc Fabregas was caught in the face by Stoke City midfielder Charlie Adam's flailing arm during their game . The former Arsenal and Barcelona Ace was left bloodied after being caught by a flailing arm following a tussle with Adam . The collision left the Spain international with a bloody nose and needing treatment . Fabregas posted a picture on Instagram with the caption : ` Italy with Dr Paco ' .,Cesc Fabregas plays for Chelsea,Charlie Adam plays for Stoke City,Cesc Fabregas used to play for Barcelona,Charlie Adam injured Cesc Fabregas,Chelsea won against Stoke City,The match was at Chelsea's home,Charlie Adam is a midfielder,Charlie Adam scored a goal in the match,Cesc Fabregas posted on instagram,Cesc Fabregas had bruises.,Cesc Fabregas was smiling in the instagram post,Charlie Adam's arm was trailing.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,n,n,p,n,p,{},,
