,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3D7VY91L79L539T43X5OCO8DHMJBMW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3I3WADAZ9VSU0GU165YPQQTC157O5O,A19LVWX8ZLO6CS,Submitted,2020-05-23 23:35:37,2020-05-23 23:36:06,Tue May 26 23:36:06 PDT 2020,,,,29,0% (0/0),0% (0/0),0% (0/0),cnndm1017,ptr_generator_out_pointer_gen_cov,"['144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159']","Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu . The public has been warned not to use the main water line due to risk of cholera . Koirala's group is relying on bottled water and is now rationing food .",Anuradha Koirala has been sleeping outdoors.,425/many young women and girls have been sleeping outdoors.,Many people have been sleeping outdoors because of aftershocks.,Pushpa Basnet was forced to evacuate her residence.,Pushpa Basnet cares for 45 children.,The children were forced to evacuate their residence.,Anuradha Koirala was a CNN Hero.,Pushpa Basnet was a CNN Hero.,Seven other CNN Heros were now assisting relief efforts.,The organizations of CNN Heros were now assisting relief efforts.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
1,3D7VY91L79L539T43X5OCO8DHMJBMW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3JNQLM5FT9AUVY8HBUGZ02M6MQ82LH,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:48:10,2020-05-23 22:49:32,Tue May 26 22:49:32 PDT 2020,,,,82,0% (0/0),0% (0/0),0% (0/0),cnndm1017,ptr_generator_out_pointer_gen_cov,"['144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159']","Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu . The public has been warned not to use the main water line due to risk of cholera . Koirala's group is relying on bottled water and is now rationing food .",Anuradha Koirala has been sleeping outdoors.,425/many young women and girls have been sleeping outdoors.,Many people have been sleeping outdoors because of aftershocks.,Pushpa Basnet was forced to evacuate her residence.,Pushpa Basnet cares for 45 children.,The children were forced to evacuate their residence.,Anuradha Koirala was a CNN Hero.,Pushpa Basnet was a CNN Hero.,Seven other CNN Heros were now assisting relief efforts.,The organizations of CNN Heros were now assisting relief efforts.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
2,3NCN4N1H2K5BLRE4FYKOP3XDMCTBNW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,386PBUZZXKLU1U6PIFMRZJ8NO0ALJ1,A2H0VR477QHYO7,Submitted,2020-05-23 19:14:09,2020-05-23 19:21:03,Tue May 26 19:21:03 PDT 2020,,,,414,0% (0/0),0% (0/0),0% (0/0),cnndm10824,ptr_generator_out_pointer_gen_cov,"['80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95']","Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother Sandra Shemansky , 57 , was found dead at the home they shared in Winter Garden . The body was discovered at the West Colonial Drive home when an out - of - state family member called in a well - being check . WKMG reports that an initial investigation determined there was foul play .",Police say Michael Scott Shemansky came to their attention.,Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit.,Michael Scott Shemansky was supposed to visit his son.,Michael Scott Shemansky was supposed to visit his son on Saturday.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead.,Sandra Shemansky / mother / wife of Michael Shemansky was 57 years old.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead on Saturday / same day.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead at their home.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Winter Garden.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Florida.,Michael Shemansky was going through a difficult divorce.,Neighbors believe the stress of the divorce may have caused Michael to snap.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,p,{},,
3,3NCN4N1H2K5BLRE4FYKOP3XDMCTBNW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3TXD01ZLD957H2AYOMROK4FNJUH4UR,A12ATVBE1I4567,Submitted,2020-05-23 19:47:35,2020-05-23 20:05:04,Tue May 26 20:05:04 PDT 2020,,,,1049,0% (0/0),0% (0/0),0% (0/0),cnndm10824,ptr_generator_out_pointer_gen_cov,"['80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95']","Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother Sandra Shemansky , 57 , was found dead at the home they shared in Winter Garden . The body was discovered at the West Colonial Drive home when an out - of - state family member called in a well - being check . WKMG reports that an initial investigation determined there was foul play .",Police say Michael Scott Shemansky came to their attention.,Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit.,Michael Scott Shemansky was supposed to visit his son.,Michael Scott Shemansky was supposed to visit his son on Saturday.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead.,Sandra Shemansky / mother / wife of Michael Shemansky was 57 years old.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead on Saturday / same day.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead at their home.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Winter Garden.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Florida.,Michael Shemansky was going through a difficult divorce.,Neighbors believe the stress of the divorce may have caused Michael to snap.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,p,{},,
4,3U74KRR68Q9BHD8LFKB9PX3ZSJTNTY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3GS6S824SVL6VE991RLL116KVRLWNB,AE3ZQZ2Z81Z11,Submitted,2020-05-23 19:37:00,2020-05-23 19:37:48,Tue May 26 19:37:48 PDT 2020,,,,48,0% (0/0),0% (0/0),0% (0/0),cnndm10231,ptr_generator_out_pointer_gen_cov,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The Red Wings ' Drew Miller says he's eager to hit the ice again just a day after receiving a cut that could have cost him his eyesight . The incident occurred shortly after a faceoff during the first period of Tuesday's game between the Red Wings and the Senators . While battling for the puck , Ottawa's Mark Stone lost his balance and lifted his right skate backwards in an arc , catching Miller just under his visor .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,n,n,{},,
5,3U74KRR68Q9BHD8LFKB9PX3ZSJTNTY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3HHRAGRYXDTD13WD9VB626YEN1OO9D,A1XRIEYLA7ZJ3B,Submitted,2020-05-23 23:03:27,2020-05-23 23:06:18,Tue May 26 23:06:18 PDT 2020,,,,171,0% (0/0),0% (0/0),0% (0/0),cnndm10231,ptr_generator_out_pointer_gen_cov,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","The Red Wings ' Drew Miller says he's eager to hit the ice again just a day after receiving a cut that could have cost him his eyesight . The incident occurred shortly after a faceoff during the first period of Tuesday's game between the Red Wings and the Senators . While battling for the puck , Ottawa's Mark Stone lost his balance and lifted his right skate backwards in an arc , catching Miller just under his visor .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,n,{},,
6,36GJS3V79ZEBTIVUGMKAX77TT5GGJE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,37FMASSAYHFMTA079KCX9FXIZRCIB4,A3PRFA3M7OSCT5,Submitted,2020-05-23 20:11:44,2020-05-23 20:18:36,Tue May 26 20:18:36 PDT 2020,,,,412,0% (0/0),0% (0/0),0% (0/0),cnndm1521,ptr_generator_out_pointer_gen_cov,"['320', '321', '322', '323', '324', '325', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335']","Carrie Reichert claims she shared a ' hot , Deep Kiss ' with Prince Harry during his infamous Party Night in Vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . She says she couldn't help but notice how ' adorably cute his naked A * * was ' , the Sun reported . Ms Reichert claims she was one of 10 women picked to party with him in the penthouse suite of the Wynn Hotel in August 2012 .",Dominatrix claims she shared a kiss.,The kiss was hot.,The kiss was deep.,Dominatrix claimed she kissed Prince Harry.,Dominatrix claimed she kissed in Vegas.,Carrie Reichert was a dominatrix.,Carri Reichert / dominatrix said she felt overdressed.,Carri Reichert / dominatrix said she saw Prince Harry's a**.,Carri Reichert was 43 years old.,Carri Reichert / the 43 year old claimed in her book.,The book was upcoming.,Kensington Palace denied Carrie Reichart was invited.,Kensington Palace denied Carrie Reichart was invited to the hotel suite.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,n,n,n,n,p,n,{},,
7,36GJS3V79ZEBTIVUGMKAX77TT5GGJE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3X65QVEQI5B7TG0J8N55CFVSYG4CLH,AM7FYVGVOEP66,Submitted,2020-05-23 19:40:41,2020-05-23 19:41:28,Tue May 26 19:41:28 PDT 2020,,,,47,0% (0/0),0% (0/0),0% (0/0),cnndm1521,ptr_generator_out_pointer_gen_cov,"['320', '321', '322', '323', '324', '325', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335']","Carrie Reichert claims she shared a ' hot , Deep Kiss ' with Prince Harry during his infamous Party Night in Vegas three years ago says she felt ' overdressed ' when she saw him playing strip billiards . She says she couldn't help but notice how ' adorably cute his naked A * * was ' , the Sun reported . Ms Reichert claims she was one of 10 women picked to party with him in the penthouse suite of the Wynn Hotel in August 2012 .",Dominatrix claims she shared a kiss.,The kiss was hot.,The kiss was deep.,Dominatrix claimed she kissed Prince Harry.,Dominatrix claimed she kissed in Vegas.,Carrie Reichert was a dominatrix.,Carri Reichert / dominatrix said she felt overdressed.,Carri Reichert / dominatrix said she saw Prince Harry's a**.,Carri Reichert was 43 years old.,Carri Reichert / the 43 year old claimed in her book.,The book was upcoming.,Kensington Palace denied Carrie Reichart was invited.,Kensington Palace denied Carrie Reichart was invited to the hotel suite.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,n,n,n,p,p,n,{},,
8,35ZRNT9RVMMO0HA31K5VM9Z6OUL3OC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3H7Z272LXCVQN59NDSRBWFUZXZFLP0,ALOYY3E72AQ1K,Submitted,2020-05-23 18:59:22,2020-05-23 19:37:42,Tue May 26 19:37:42 PDT 2020,,,,2300,0% (0/0),0% (0/0),0% (0/0),cnndm8312,ptr_generator_out_pointer_gen_cov,"['112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127']","Carl Froch has not fought since beating George Groves at Wembley last May . Froch had hoped to meet Julio Cesar Chavez Jr , but he lost to Andrzej Fonfara . Froch has kept in shape and weighs 12st 7 lbs - despite being away from the ring .",If Carl Froch doesn't fight in 2015 I 'm not sure he 'll be back at all .,A blockbuster with James degale is most likely,A blockbuster with James degale is most likely after Julio Cesar Chavez Jnr defeat,Anthony Dirrell has made contact .,Scott Quigg - Carl Frampton Summer Fight Is Dead in the water .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
9,35ZRNT9RVMMO0HA31K5VM9Z6OUL3OC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:52:57 PDT 2020,2,BatchId:4050577;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:52:57 PDT 2020,,,3TAYZSBPLQWHZB37V3D0CO01EJZS22,A2PJBSDDN22XIX,Submitted,2020-05-23 19:43:16,2020-05-23 19:44:13,Tue May 26 19:44:13 PDT 2020,,,,57,0% (0/0),0% (0/0),0% (0/0),cnndm8312,ptr_generator_out_pointer_gen_cov,"['112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127']","Carl Froch has not fought since beating George Groves at Wembley last May . Froch had hoped to meet Julio Cesar Chavez Jr , but he lost to Andrzej Fonfara . Froch has kept in shape and weighs 12st 7 lbs - despite being away from the ring .",If Carl Froch doesn't fight in 2015 I 'm not sure he 'll be back at all .,A blockbuster with James degale is most likely,A blockbuster with James degale is most likely after Julio Cesar Chavez Jnr defeat,Anthony Dirrell has made contact .,Scott Quigg - Carl Frampton Summer Fight Is Dead in the water .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
