,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
1,3J5XXLQDIQZJQ1J02WR9H1TEKRN3VR,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3MAOD8E57VYLKEEZBWH73KKR4HPXNF,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:13:20,2020-05-28 13:16:05,Sun May 31 13:16:05 PDT 2020,,,,165,100% (411/411),100% (411/411),100% (411/411),cnndm5025,pnbert_out_bert_tf_pn,"['1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1096', '1097', '1098', '1099', '1100', '1101', '1102', '1103']","zbigniew huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of chloe , yesterday afternoon in france ` while drunk ' . she was stripped naked and sexually assaulted and after being forced into huminski's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the uk . horrifying : the little girl's naked body was found in the woods near calais 90 minutes after she was taken .",Chloe's was playing with friend.,Zbigniew Huminski forced Chloe into the car.,Chloe's naked body was found.,Chloe's body was found in nearby woods.,Chloe's body was found an hour - and - A - half later.,Prosecutors say there is evidence.,The evidence was of ' strangulation and sexual violence '.,Zbigniew Huminski is a Polish immigrant.,Zbigniew Huminski was heading to England.,Zbigniew Huminski has admitted to killing.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
2,3J5XXLQDIQZJQ1J02WR9H1TEKRN3VR,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3MRNMEIQWAUHY86X8J0GWLDAJ4JDLX,A34AQDMF5GVHVY,Submitted,2020-05-28 13:42:40,2020-05-28 13:45:30,Sun May 31 13:45:30 PDT 2020,,,,170,100% (1/1),100% (1/1),100% (1/1),cnndm5025,pnbert_out_bert_tf_pn,"['1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1096', '1097', '1098', '1099', '1100', '1101', '1102', '1103']","zbigniew huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of chloe , yesterday afternoon in france ` while drunk ' . she was stripped naked and sexually assaulted and after being forced into huminski's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the uk . horrifying : the little girl's naked body was found in the woods near calais 90 minutes after she was taken .",Chloe's was playing with friend.,Zbigniew Huminski forced Chloe into the car.,Chloe's naked body was found.,Chloe's body was found in nearby woods.,Chloe's body was found an hour - and - A - half later.,Prosecutors say there is evidence.,The evidence was of ' strangulation and sexual violence '.,Zbigniew Huminski is a Polish immigrant.,Zbigniew Huminski was heading to England.,Zbigniew Huminski has admitted to killing.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,p,n,p,n,p,n,n,{},,
3,3B286OTITI5AJRIRUMS01LWQVE8AJ9,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,33LK57MYLYT75M6JKAMEZZA8ZGZZSU,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:34:29,2020-05-28 13:36:32,Sun May 31 13:36:32 PDT 2020,,,,123,100% (411/411),100% (411/411),100% (411/411),cnndm10368,pnbert_out_bert_tf_pn,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']","only five men have won all four of golf's majors in the masters era , those being jack nicklaus , tiger woods , ben hogan , gary player and gene sarazen . the northern irishman heads to the augusta national heavily favoured to win the coveted green jacket for the first time in his career after coming close on more than one previous occasion . rory mcilroy is looking to complete a career grand slam this week with victory at the masters in augusta .",Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
4,3B286OTITI5AJRIRUMS01LWQVE8AJ9,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3D8YOU6S9J8LWPEC7AK3H2Z1F9TU6K,AOWLCXNXCSQAC,Submitted,2020-05-28 14:06:21,2020-05-28 14:08:03,Sun May 31 14:08:03 PDT 2020,,,,102,100% (455/455),100% (455/455),100% (455/455),cnndm10368,pnbert_out_bert_tf_pn,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']","only five men have won all four of golf's majors in the masters era , those being jack nicklaus , tiger woods , ben hogan , gary player and gene sarazen . the northern irishman heads to the augusta national heavily favoured to win the coveted green jacket for the first time in his career after coming close on more than one previous occasion . rory mcilroy is looking to complete a career grand slam this week with victory at the masters in augusta .",Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
6,39N6W9XWSHB1O7QT2MLD7UMH6DTYG2,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3C2NJ6JBKF5KJYB2N7WEDUQVR8NN2T,AOWLCXNXCSQAC,Submitted,2020-05-28 13:08:04,2020-05-28 13:09:16,Sun May 31 13:09:16 PDT 2020,,,,72,100% (455/455),100% (455/455),100% (455/455),cnndm6564,pnbert_out_bert_tf_pn,"['1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087']","wearing shirts in maren sanchez's favorite color of purple , the crowd filled a baseball field behind milford's jonathan law high school , where she was attacked and killed in a hallway on april 25 , 2014 . a classmate , christopher plaskon , has been charged with murder . ' i did it ' : chris plaskon is being charged with murder as an adult over the stabbing of sanchez . remembrance : friends embrace and remember slain student maren sanchez on saturday , april 25 , 2015 .",Maren Sanchez was 16 year old.,Maren Sanchez stabbed to death.,Maren Sanchez was stabbed a year ago.,Maren Sanchez was stabbed on the day of Prom.,The life of Maren Sanchez was celebrated on Saturday.,The life of Maren Sanchez was celebrated by hundreds of people.,Someone doesn't thinks there's anything sad about the celebration.,Christopher Plaskon was a classmate of Maren Sanchez.,Christopher Plaskon has been charged with Sanchez's murder.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
7,39N6W9XWSHB1O7QT2MLD7UMH6DTYG2,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3ERMJ6L4D3GLNHN8HIY9W6I3XY67M0,AWPRKXU5UNLMN,Submitted,2020-05-28 13:40:54,2020-05-28 13:41:00,Sun May 31 13:41:00 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),cnndm6564,pnbert_out_bert_tf_pn,"['1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087']","wearing shirts in maren sanchez's favorite color of purple , the crowd filled a baseball field behind milford's jonathan law high school , where she was attacked and killed in a hallway on april 25 , 2014 . a classmate , christopher plaskon , has been charged with murder . ' i did it ' : chris plaskon is being charged with murder as an adult over the stabbing of sanchez . remembrance : friends embrace and remember slain student maren sanchez on saturday , april 25 , 2015 .",Maren Sanchez was 16 year old.,Maren Sanchez stabbed to death.,Maren Sanchez was stabbed a year ago.,Maren Sanchez was stabbed on the day of Prom.,The life of Maren Sanchez was celebrated on Saturday.,The life of Maren Sanchez was celebrated by hundreds of people.,Someone doesn't thinks there's anything sad about the celebration.,Christopher Plaskon was a classmate of Maren Sanchez.,Christopher Plaskon has been charged with Sanchez's murder.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,n,{},,
8,39N6W9XWSHB1O7QT2MLD7UMH6DTYG2,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3Y4W8Q93L48KUDIRMN2MJUBCA2JVDW,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:35:46,2020-05-28 13:37:25,Sun May 31 13:37:25 PDT 2020,,,,99,100% (411/411),100% (411/411),100% (411/411),cnndm6564,pnbert_out_bert_tf_pn,"['1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087']","wearing shirts in maren sanchez's favorite color of purple , the crowd filled a baseball field behind milford's jonathan law high school , where she was attacked and killed in a hallway on april 25 , 2014 . a classmate , christopher plaskon , has been charged with murder . ' i did it ' : chris plaskon is being charged with murder as an adult over the stabbing of sanchez . remembrance : friends embrace and remember slain student maren sanchez on saturday , april 25 , 2015 .",Maren Sanchez was 16 year old.,Maren Sanchez stabbed to death.,Maren Sanchez was stabbed a year ago.,Maren Sanchez was stabbed on the day of Prom.,The life of Maren Sanchez was celebrated on Saturday.,The life of Maren Sanchez was celebrated by hundreds of people.,Someone doesn't thinks there's anything sad about the celebration.,Christopher Plaskon was a classmate of Maren Sanchez.,Christopher Plaskon has been charged with Sanchez's murder.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
10,32XN26MTY37KD489557KSUX5QH1L0V,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3DUZQ9U6SRCQW219JDXBETXCB5TVSQ,AD1FDB9A61LMS,Submitted,2020-05-28 13:36:28,2020-05-28 13:50:53,Sun May 31 13:50:53 PDT 2020,,,,865,100% (145/145),100% (145/145),100% (145/145),cnndm9555,pnbert_out_bert_tf_pn,"['1280', '1281', '1282', '1283', '1284', '1285', '1286', '1287', '1288', '1289', '1290', '1291', '1292', '1293', '1294', '1295']",england's first-choice right-back at the world cup looks set to leave liverpool after six years this summer . goalkeeper - gerhard tremmel -lrb- swansea -rrb- . centre-back - kolo toure -lrb- liverpool -rrb- .,Gerhard Tremmel plays for Swansea,Gerhard Tremmel was in goal,Gerhard Tremmel played for free agents' 4 -4-2,Glen Johnson was at the back,Kolo Toure was at the back,Ron Vlaar was at the back,Luke Garbutt was at the back,James Milner was in midfield,Mikel Arteta was in the midfield,Tom Cleverly was in the midfield,Jonas Gutierrez was in the midfield,Danny Ings plays for Burnley,Danny Ings was up front,James Wilson plays for Manchester United,James Wilson was up front,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,n,n,n,n,{},,
11,32XN26MTY37KD489557KSUX5QH1L0V,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,3PWWM24LHXMZGROYH57VVX002DX82Z,AOWLCXNXCSQAC,Submitted,2020-05-28 13:53:10,2020-05-28 13:54:38,Sun May 31 13:54:38 PDT 2020,,,,88,100% (455/455),100% (455/455),100% (455/455),cnndm9555,pnbert_out_bert_tf_pn,"['1280', '1281', '1282', '1283', '1284', '1285', '1286', '1287', '1288', '1289', '1290', '1291', '1292', '1293', '1294', '1295']",england's first-choice right-back at the world cup looks set to leave liverpool after six years this summer . goalkeeper - gerhard tremmel -lrb- swansea -rrb- . centre-back - kolo toure -lrb- liverpool -rrb- .,Gerhard Tremmel plays for Swansea,Gerhard Tremmel was in goal,Gerhard Tremmel played for free agents' 4 -4-2,Glen Johnson was at the back,Kolo Toure was at the back,Ron Vlaar was at the back,Luke Garbutt was at the back,James Milner was in midfield,Mikel Arteta was in the midfield,Tom Cleverly was in the midfield,Jonas Gutierrez was in the midfield,Danny Ings plays for Burnley,Danny Ings was up front,James Wilson plays for Manchester United,James Wilson was up front,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
12,3BAWBGQGZPN1RKKN48UZUI5UPT97V0,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:52:25 PDT 2020,3,BatchId:4057895;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:52:25 PDT 2020,,,31JLPPHS2ZIRM17XSMAWBTVSNWY3O5,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:36:57,2020-05-28 13:39:41,Sun May 31 13:39:41 PDT 2020,,,,164,100% (411/411),100% (411/411),100% (411/411),cnndm10824,pnbert_out_bert_tf_pn,"['80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95']","police say michael scott shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother sandra shemansky , 57 , was found dead at the home they shared in winter garden . he is already on parole for battery on law enforcement , has a history of bipolar mental illness , and was involuntarily committed to a psychiatric ward for an attempted suicide . michael scott shemansky is on the run after authorities named him as a suspect in the murder of his mother .",Police say Michael Scott Shemansky came to their attention.,Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit.,Michael Scott Shemansky was supposed to visit his son.,Michael Scott Shemansky was supposed to visit his son on Saturday.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead.,Sandra Shemansky / mother / wife of Michael Shemansky was 57 years old.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead on Saturday / same day.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead at their home.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Winter Garden.,Sandra Shemansky / mother / wife of Michael Shemansky was found dead in Florida.,Michael Shemansky was going through a difficult divorce.,Neighbors believe the stress of the divorce may have caused Michael to snap.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
