,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3PZDSVZ3K95R0STV0JA1HPR7COH4NW,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,39U1BHVTDQF7ZTC5O3WV531FM4AT3C,A1CB72B51L7TKE,Submitted,2020-05-28 13:11:14,2020-05-28 13:12:53,Sun May 31 13:12:53 PDT 2020,,,,99,0% (0/0),0% (0/0),0% (0/0),cnndm8565,heter_graph_out,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']","godfrey elfwick was recruited to talk on the bbc world service programme after tweeting about never having seen the films . godfrey elfwick was recruited via twitter to appear on the programme world have your say , where producers were preparing an item about the trailer for the new film in the franchise . the bbc has apologised and admitted the fell victim to a hoaxer who appeared on the world service claiming the star wars films are anti-women , anti-gay and said darth vader listens to rap music .",Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
1,3PZDSVZ3K95R0STV0JA1HPR7COH4NW,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,3CPLWGV3MTNVJIW18GBTNHY9XE4N9S,AOWLCXNXCSQAC,Submitted,2020-05-28 13:47:36,2020-05-28 13:48:47,Sun May 31 13:48:47 PDT 2020,,,,71,100% (455/455),100% (455/455),100% (455/455),cnndm8565,heter_graph_out,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']","godfrey elfwick was recruited to talk on the bbc world service programme after tweeting about never having seen the films . godfrey elfwick was recruited via twitter to appear on the programme world have your say , where producers were preparing an item about the trailer for the new film in the franchise . the bbc has apologised and admitted the fell victim to a hoaxer who appeared on the world service claiming the star wars films are anti-women , anti-gay and said darth vader listens to rap music .",Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
2,3PZDSVZ3K95R0STV0JA1HPR7COH4NW,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,3SUWZRL0M3147THQHA5YDKDYTLQ6E6,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:16:26,2020-05-28 13:19:32,Sun May 31 13:19:32 PDT 2020,,,,186,100% (411/411),100% (411/411),100% (411/411),cnndm8565,heter_graph_out,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']","godfrey elfwick was recruited to talk on the bbc world service programme after tweeting about never having seen the films . godfrey elfwick was recruited via twitter to appear on the programme world have your say , where producers were preparing an item about the trailer for the new film in the franchise . the bbc has apologised and admitted the fell victim to a hoaxer who appeared on the world service claiming the star wars films are anti-women , anti-gay and said darth vader listens to rap music .",Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
3,3ZICQFRS4561KEV3O0BL68BPNXRZZJ,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,32Z9ZLUT1Q86G9EW77ZYFNW2611OHI,A2GMGP393VX96T,Submitted,2020-05-28 12:15:08,2020-05-28 12:18:58,Sun May 31 12:18:58 PDT 2020,,,,230,100% (29/29),100% (29/29),100% (29/29),cnndm5075,heter_graph_out,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","britt mchenry ( left ) has been reinstated as an espn sports reporter after being filmed attacking tow clerk gina michelle ( right ) for her looks and social status in a video the sparked mass outrage . her car had been towed from the parking lot of a chinese restaurant in virginia , where she left it overnight on easter weekend . vicious : espn sports reporter britt mchenry was suspended for one week after the april 6 video surfaced .",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,p,p,n,n,n,n,n,n,n,n,n,p,p,p,n,p,{},,
4,3ZICQFRS4561KEV3O0BL68BPNXRZZJ,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,3I2PTA7R3YI03BSKS5UZHK7UDJNKQQ,A8UI77795LTGF,Submitted,2020-05-28 12:11:55,2020-05-28 13:34:33,Sun May 31 13:34:33 PDT 2020,,,,4958,100% (60/60),100% (60/60),100% (60/60),cnndm5075,heter_graph_out,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","britt mchenry ( left ) has been reinstated as an espn sports reporter after being filmed attacking tow clerk gina michelle ( right ) for her looks and social status in a video the sparked mass outrage . her car had been towed from the parking lot of a chinese restaurant in virginia , where she left it overnight on easter weekend . vicious : espn sports reporter britt mchenry was suspended for one week after the april 6 video surfaced .",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,p,p,n,n,n,n,n,n,p,n,n,p,p,p,n,p,{},,
5,3ZICQFRS4561KEV3O0BL68BPNXRZZJ,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,3P529IW9K39EWSKTZPV6KLGVVHILFZ,A1C8FN01981A69,Submitted,2020-05-28 12:07:58,2020-05-28 12:09:58,Sun May 31 12:09:58 PDT 2020,,,,120,100% (22/22),100% (22/22),100% (22/22),cnndm5075,heter_graph_out,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","britt mchenry ( left ) has been reinstated as an espn sports reporter after being filmed attacking tow clerk gina michelle ( right ) for her looks and social status in a video the sparked mass outrage . her car had been towed from the parking lot of a chinese restaurant in virginia , where she left it overnight on easter weekend . vicious : espn sports reporter britt mchenry was suspended for one week after the april 6 video surfaced .",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,p,p,n,n,n,n,n,n,p,n,p,p,p,p,n,p,{},,
6,3ZG552ORBQSU5JNHYWD4YROMEDMV27,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,30MVJZJNHR1Z0S5GTIJ1UAHSOUQJ9B,AOWLCXNXCSQAC,Submitted,2020-05-28 12:57:09,2020-05-28 12:59:59,Sun May 31 12:59:59 PDT 2020,,,,170,100% (455/455),100% (455/455),100% (455/455),cnndm10325,heter_graph_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","residents living yards from the scene of the # 60million hatton garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime . meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central london to steal more loot after becoming ` greedy ' . they also claim to have heard ` drilling ' noises on the evening of good friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
7,3ZG552ORBQSU5JNHYWD4YROMEDMV27,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,33F859I56B1MXFPN32UC93W3Z2KHB9,A1C8FN01981A69,Submitted,2020-05-28 12:24:16,2020-05-28 12:25:47,Sun May 31 12:25:47 PDT 2020,,,,91,100% (22/22),100% (22/22),100% (22/22),cnndm10325,heter_graph_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","residents living yards from the scene of the # 60million hatton garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime . meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central london to steal more loot after becoming ` greedy ' . they also claim to have heard ` drilling ' noises on the evening of good friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
8,3ZG552ORBQSU5JNHYWD4YROMEDMV27,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,3HWRJOOETAQ9URFNON81EP9QBAPSEG,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:29:09,2020-05-28 13:31:00,Sun May 31 13:31:00 PDT 2020,,,,111,100% (411/411),100% (411/411),100% (411/411),cnndm10325,heter_graph_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","residents living yards from the scene of the # 60million hatton garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime . meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central london to steal more loot after becoming ` greedy ' . they also claim to have heard ` drilling ' noises on the evening of good friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
9,3URJ6VVYVTB9IDT71YAEWERC2YM4OB,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:49:23 PDT 2020,3,BatchId:4057884;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:49:23 PDT 2020,,,32VNZTT0ACSF1AIHKSWJFTS3CJCR4L,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:27:59,2020-05-28 13:30:28,Sun May 31 13:30:28 PDT 2020,,,,149,100% (411/411),100% (411/411),100% (411/411),cnndm2748,heter_graph_out,"['1040', '1041', '1042', '1043', '1044', '1045', '1046', '1047', '1048', '1049', '1050', '1051', '1052', '1053', '1054', '1055']","paula dunican was horrified when she found the body of a crushed lizard on the lining of a # 25 coat from asda ' . paula dunican spent # 25 on the baby blue coat at her local branch in canterbury , kent . a spokesman for asda apologised and offered her a # 40 voucher and refund .",Paula Dunican paid 25.,Paula Dunican paid for the Baby Blue Coat,Paula Dunican paid at her local branch of Asda.,Paula Dunican noticed a ' seeping ' stain.,Paula Dunican noticed stain on the back of coat.,Paula Dunican noticed stain when she took the coat home.,Paula Dunican discovered the reptile ' s crushed body.,Paula Dunican discovered the reptile body on the garment 's lining.,Paula Dunican discovered the body after noticing the stain.,The supermarket apologised.,The supermarket offered Paula Dunican a 40 voucher.,The supermarket offered Paula Dunican a refund.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
