,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3LN3BXKGD4JXZ2VTNL3PMX11V1PWGP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3OS46CRSLKNL943CC0U8DO1KTT6V64,A3KQEFX15OV461,Submitted,2020-05-23 21:51:32,2020-05-23 21:53:16,Tue May 26 21:53:16 PDT 2020,,,,104,0% (0/0),0% (0/0),0% (0/0),cnndm1017,t5_out_large,"['144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159']",CNN Heroes Anuradha Koirala and Pushpa Basu are helping earthquake survivors . Koirala's HIV / AIDS hospice wall has crumbled .,Anuradha Koirala has been sleeping outdoors.,425/many young women and girls have been sleeping outdoors.,Many people have been sleeping outdoors because of aftershocks.,Pushpa Basnet was forced to evacuate her residence.,Pushpa Basnet cares for 45 children.,The children were forced to evacuate their residence.,Anuradha Koirala was a CNN Hero.,Pushpa Basnet was a CNN Hero.,Seven other CNN Heros were now assisting relief efforts.,The organizations of CNN Heros were now assisting relief efforts.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,p,p,n,{},,
1,3LN3BXKGD4JXZ2VTNL3PMX11V1PWGP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3X4MXAO0BLCRAC11UY22ALBUWOJRW3,A1A3J5IXCM8A7X,Submitted,2020-05-23 21:17:42,2020-05-23 21:20:36,Tue May 26 21:20:36 PDT 2020,,,,174,0% (0/0),0% (0/0),0% (0/0),cnndm1017,t5_out_large,"['144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159']",CNN Heroes Anuradha Koirala and Pushpa Basu are helping earthquake survivors . Koirala's HIV / AIDS hospice wall has crumbled .,Anuradha Koirala has been sleeping outdoors.,425/many young women and girls have been sleeping outdoors.,Many people have been sleeping outdoors because of aftershocks.,Pushpa Basnet was forced to evacuate her residence.,Pushpa Basnet cares for 45 children.,The children were forced to evacuate their residence.,Anuradha Koirala was a CNN Hero.,Pushpa Basnet was a CNN Hero.,Seven other CNN Heros were now assisting relief efforts.,The organizations of CNN Heros were now assisting relief efforts.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,p,p,n,{},,
3,3EPG8DX9MOE9ZW98U363Q62GCV8P55,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3300DTYQT75XHB0AWJJWJPUPTZHQES,A12ATVBE1I4567,Submitted,2020-05-23 22:05:59,2020-05-23 22:34:40,Tue May 26 22:34:40 PDT 2020,,,,1721,0% (0/0),0% (0/0),0% (0/0),cnndm11351,t5_out_large,"['1328', '1329', '1330', '1331', '1332', '1333', '1334', '1335', '1336', '1337', '1338', '1339', '1340', '1341', '1342', '1343']",Fan site Appleinsider has spotted nine job listings on Apple's official recruitment site in the past month that relate to batteries . These include one for an IOS battery life software engineer . Other listings include a software power systems engineer and a cell engineer . Apple has made significant improvements to the battery life of its iphone 6 and 6 plus but they still fail to last more than a full day .,Appleinsider spotted nine listings,Appleinsider spotted listings last month,Appleinsider spotted listings related to batteries,The listings include one for an IOS Battery Life Software Engineer,The listings include one for an IOS Software Power Systems Engineer,Appled improved battery life,The battery life of iphone 6 was improved,The battery life of iphone 6 plus was improved,Apple has been criticized for phones,Apple has been criticized for tablets,The criticism includes that phones don't last a day,The criticism includes that tablets don't last a day,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,p,p,p,n,{},,
5,3EN4YVUOVGGMF4QK5WKELT7OWVCJX9,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3YMU66OBISWIOWXYJOMQAEN0FS0HG4,A12ATVBE1I4567,Submitted,2020-05-23 22:07:20,2020-05-23 22:36:08,Tue May 26 22:36:08 PDT 2020,,,,1728,0% (0/0),0% (0/0),0% (0/0),cnndm6774,t5_out_large,"['736', '737', '738', '739', '740', '741', '742', '743', '744', '745', '746', '747', '748', '749', '750', '751']","Mustafa Kamal resigned as ICC President on Wednesday . Kamal accused India of influencing the outcome of a World Cup quarter - final between Bangladesh and Australia . The Bangladeshi Cricket Board President said he would have reacted similarly had it happened to any other country . Kamal also criticised the umpires in the quarter - final , and questioned their partiality , over a disputed no - ball against India batsman Rohit Sharma .",Kamal criticised decision.,Decision was to award no - ball against Rohit Sharma.,Decision was controversial.,Decision was Umpires' decision.,Decision was in World Cup match.,India and Bangladesh played World Cup match.,An allegation was made that India had used its influence in the ICC.,Bangladeshi president made an allegation.,Governing Body asked Bangladeshi president to withdraw his statement or apologise.,Kamal confirmed his intention.,Kamal's intention was to step down.,Governing Body made request to Bangladeshi president.,BLANK,BLANK,BLANK,BLANK,n,p,n,n,n,n,n,p,p,p,p,n,n,p,p,n,{},,
6,368IUKXGB9W5I09MZMG8ICGG8QJP6L,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3KB8R4ZV1JV8XJUCJWCUO3K2KFUGBM,A3V8LIMUUJWUTL,Submitted,2020-05-23 21:56:07,2020-05-23 21:56:51,Tue May 26 21:56:51 PDT 2020,,,,44,0% (0/0),0% (0/0),0% (0/0),cnndm3621,t5_out_large,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","John Helm was commentating on Bradford City's match against Lincoln City . Approaching 30th anniversary of Bradford City Fire , Helm recalls horrific images . Helm says there isn't a jot of evidence to suggest blaze was caused deliberately .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
9,3Y3CZJSZAOHUB9PN7VASV12VDDWR5Z,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3G0WWMR1U081BHDNPIMF9COY7RIQNH,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:06:55,2020-05-23 22:07:39,Tue May 26 22:07:39 PDT 2020,,,,44,0% (0/0),0% (0/0),0% (0/0),cnndm1944,t5_out_large,"['240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '251', '252', '253', '254', '255']","Domenico Rancadore , 65 , was convicted in his absence in Italy in 1999 . He was convicted for his role as a ' man of Honour ' in the Cosa Nostra . Rancadore fled to Britain in the 1990s and was convicted in his absence . He was sentenced to seven years in prison but his case expired last October . Today it emerged his European Arrest Warrant is to be withdrawn .",Domenico Rancadore given a sentence.,Domenico Rancadore sentenced for 7 years.,Domenico Rancadore sentenced by Italian court.,Domenico Rancadore sentenced in 1999.,Domenico Rancadore was convicted for role as Man of Honour.,Domenico Rancadore took bribes from builders.,Domenico Rancadore was a Sicilian Mafia fugitive.,Domenico Rancadore lost battle against extradition to Italy.,Today a news emerged.,Domenico Rancadore was a 65 year old.,Domenico Rancadore's case expired in October last year.,BLANK,BLANK,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,p,n,p,p,p,n,n,n,p,{},,
10,3KWGG5KP7NQODELAHX1JN8EVZ7JMCE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3HMIGG0U4QUPHCH5AQEQ4115H4W8Y8,AKVDY8OXNMQED,Submitted,2020-05-23 21:25:05,2020-05-23 21:26:15,Tue May 26 21:26:15 PDT 2020,,,,70,100% (6/6),100% (6/6),100% (6/6),cnndm8565,t5_out_large,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Godfrey Elfwick recruited via Twitter to appear on World Have Your Say . Producers were preparing item about trailer for New Star Wars Film . Mr Elfwick said films full of social problems ' rooted in homophobia ' BBC has apologised and said Mr Elfwick was a hoaxer .,Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,n,n,n,n,Why were these decreased in pay from .45 to .20?  Thanks,,
11,3KWGG5KP7NQODELAHX1JN8EVZ7JMCE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:28 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:28 PDT 2020,,,3IX2EGZR7G754S12NZJNLVHMUS7JRX,A1EWWETFXX1U51,Submitted,2020-05-23 20:50:22,2020-05-23 20:55:09,Tue May 26 20:55:09 PDT 2020,,,,287,0% (0/0),0% (0/0),0% (0/0),cnndm8565,t5_out_large,"['32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']",Godfrey Elfwick recruited via Twitter to appear on World Have Your Say . Producers were preparing item about trailer for New Star Wars Film . Mr Elfwick said films full of social problems ' rooted in homophobia ' BBC has apologised and said Mr Elfwick was a hoaxer .,Godfrey Elfwick recruited via Twitter.,Godfrey Elfwick to appear on World Have Your Say.,Godfrey Elfwick claimed he had never seen the Star Wars franchise.,Godfrey Elfwick described the films as anti - women.,Godfrey Elfwick described the films as anti - gay.,Godfrey Elfwick said Darth Vader was a black man.,Godfrey Elfwick said Darth Vader was a really bad racial stereotype.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,n,n,n,n,{},,
12,3R5OYNIC3GXBKYKYVZO1TM8USYUTP0,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:29 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:29 PDT 2020,,,3MTMREQS406ZBVFKSNGGFVMKWLCWAJ,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:30:02,2020-05-24 00:38:00,Wed May 27 00:38:00 PDT 2020,,,,478,0% (0/0),0% (0/0),0% (0/0),cnndm6094,t5_out_large,"['1360', '1361', '1362', '1363', '1364', '1365', '1366', '1367', '1368', '1369', '1370', '1371', '1372', '1373', '1374', '1375']",Steven Finn believes he's regained his best form since the World Cup . The 26 - year - old admits he's had ' trials and tribulations ' but he's got his ' head straight ' . Finn has played just one championship game for Middlesex this season .,Steven Finn plays for England,Steven Finn was left out of the England squad,England tour West Indies,Steven Finn is a Middlesex Quick Bowler,Steven Finn has regained form,Steven Finn's form returned after 12 months,Steven Finn said he's back to bowling,Steven Finn said he's bowling like he was a carefree 21 year old,Steven Finn has 23 test caps for England,Steven Finn played for England last in 2013,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
15,3XJOUITW9YFWKALDVC3QTRY4XUGTQR,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:57:29 PDT 2020,2,BatchId:4050584;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:57:29 PDT 2020,,,3XXU1SWE8RJ635EZZGNV80DGVGY0AM,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:25:54,2020-05-24 00:35:01,Wed May 27 00:35:01 PDT 2020,,,,547,0% (0/0),0% (0/0),0% (0/0),cnndm4315,t5_out_large,"['1184', '1185', '1186', '1187', '1188', '1189', '1190', '1191', '1192', '1193', '1194', '1195', '1196', '1197', '1198', '1199']","Sports brand features prominently on leaflet distributed in Raqqa , Syria . Leaflet threatens both the buyer and seller of Nike products with punishments ranging from a small fine to whipping or even imprisonment . News comes shortly after one militant decried the popularity of Nike among ISIS fighters , comparing the brand's name and logo to wearing a Christian cross .",Jihadis face fines fines for wearing Nike products.,Jihadis face whipping for wearing Nike products.,Jihadis face jail time for wearing Nike products.,Jihadis have banned Nike products.,Ban is due to the brand name.,The Nike brand name is shared with a Greek goddess.,Ban is also due to how the brand name sounds in Arabic.,The brand name sounds like sexual slang words in Arabic.,People under ISIS are already banned from wearing jeans.,ISIS also banned items of clothing carrying provocative language or swear words.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
