,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,302U8RURK3PQU5CAKFBOQFRKP8DVNY,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:02 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:02 PDT 2020,,,3HPZF4IVNRHRTF7IR2UV6NXO7J7YC6,ANCCKNF1DKRZO,Submitted,2020-05-28 13:26:17,2020-05-28 14:08:37,Sun May 31 14:08:37 PDT 2020,,,,2540,100% (46/46),100% (46/46),100% (46/46),cnndm10368,matchsumm_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']","the northern irishman heads to the augusta national heavily favoured to win the coveted green jacket for the first time in his career after coming close on more than one previous occasion . only five men have won all four of golf's majors in the masters era , those being jack nicklaus , tiger woods , ben hogan , gary player and gene sarazen . rory mcilroy is looking to complete a career grand slam this week with victory at the masters in augusta .",Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,n,{},,
1,302U8RURK3PQU5CAKFBOQFRKP8DVNY,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:02 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:02 PDT 2020,,,3WJ1OXY92F4OLUJ2UK0A1FJYE1DA8W,AOWLCXNXCSQAC,Submitted,2020-05-28 12:49:49,2020-05-28 12:56:25,Sun May 31 12:56:25 PDT 2020,,,,396,100% (455/455),100% (455/455),100% (455/455),cnndm10368,matchsumm_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']","the northern irishman heads to the augusta national heavily favoured to win the coveted green jacket for the first time in his career after coming close on more than one previous occasion . only five men have won all four of golf's majors in the masters era , those being jack nicklaus , tiger woods , ben hogan , gary player and gene sarazen . rory mcilroy is looking to complete a career grand slam this week with victory at the masters in augusta .",Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
3,304QEQWK0T8SJPB6IXNCKB1ZLM60OR,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:03 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:03 PDT 2020,,,3IO1LGZLKELNYS7Z47JYLAHCIIJ860,A2STG331R3P3FK,Submitted,2020-05-28 12:25:32,2020-05-28 12:26:52,Sun May 31 12:26:52 PDT 2020,,,,80,0% (0/0),0% (0/0),0% (0/0),cnndm3621,matchsumm_out,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","what i did not expect was for someone to suggest the fire may not have been an accident , as martin fletcher has done with his book fifty - six , the story of the bradford fire . the tragic fire at bradford city's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985 without making allegations against the club's chairman at the time stafford heginbotham , there is inference by implication in the book -- with reference to a series of fires at factories owned by the now deceased heginbotham .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,n,{},,
4,304QEQWK0T8SJPB6IXNCKB1ZLM60OR,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:03 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:03 PDT 2020,,,3LWJHTCVCHAPNP06RU3217FP5NEQF2,A3K5YBCBVBM3RY,Submitted,2020-05-28 13:01:27,2020-05-28 13:03:50,Sun May 31 13:03:50 PDT 2020,,,,143,100% (1/1),100% (1/1),100% (1/1),cnndm3621,matchsumm_out,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","what i did not expect was for someone to suggest the fire may not have been an accident , as martin fletcher has done with his book fifty - six , the story of the bradford fire . the tragic fire at bradford city's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985 without making allegations against the club's chairman at the time stafford heginbotham , there is inference by implication in the book -- with reference to a series of fires at factories owned by the now deceased heginbotham .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
5,304QEQWK0T8SJPB6IXNCKB1ZLM60OR,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:03 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:03 PDT 2020,,,3TY7ZAOG5K8CFINLB70K2EGC0FUK0X,A8UI77795LTGF,Submitted,2020-05-28 12:47:44,2020-05-28 13:50:09,Sun May 31 13:50:09 PDT 2020,,,,3745,100% (60/60),100% (60/60),100% (60/60),cnndm3621,matchsumm_out,"['416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431']","what i did not expect was for someone to suggest the fire may not have been an accident , as martin fletcher has done with his book fifty - six , the story of the bradford fire . the tragic fire at bradford city's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985 without making allegations against the club's chairman at the time stafford heginbotham , there is inference by implication in the book -- with reference to a series of fires at factories owned by the now deceased heginbotham .",John Helm was commentating on the game.,John Helm was commentating on the day the fire broke out.,John Helm gives his insight about what caused the fire.,The fire was caused 30 years ago.,John Helm said there wasn't a lot of evidence to suggest the fire was caused deliberately.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
6,307FVKVSZV32X718KCTCLS5HC9C74O,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:04 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:04 PDT 2020,,,37FMASSAYHFMTA079KCX9FXIZFWBIT,ALOYY3E72AQ1K,Submitted,2020-05-28 12:02:04,2020-05-28 12:03:18,Sun May 31 12:03:18 PDT 2020,,,,74,100% (35/35),100% (35/35),100% (35/35),cnndm2736,matchsumm_out,"['304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319']","eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post - it notes on the door of the family home the qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n * * * * * ' but wrote : ' i am not racist ' . one of the notes , seen by katu , read : ` apes were never meant to drive so stop . ' .",Eva Chapin is 34 years old.,Eva Chapi is from West Linn.,Eva Chapi is from Oregon.,Eva Chapi has been accused of harassment.,Eva Chapi referred to her neighbors as ' n ***** '.,Eva Chapi insists she is not racist.,Eva Chapi wront a note.,The note said that there were non [ expletive ] in West Linn untill the neighbors came.,Victim/neighbors said her family may be forced to move.,Victim/neighbors said they don't feel safe.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,n,n,{},,
8,307FVKVSZV32X718KCTCLS5HC9C74O,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:04 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:04 PDT 2020,,,3SLE99ER0S18O0PH9O0J9A08VS2ZBI,A32F420NFLF032,Submitted,2020-05-28 12:36:50,2020-05-28 12:46:08,Sun May 31 12:46:08 PDT 2020,,,,558,100% (4/4),100% (4/4),100% (4/4),cnndm2736,matchsumm_out,"['304', '305', '306', '307', '308', '309', '310', '311', '312', '313', '314', '315', '316', '317', '318', '319']","eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post - it notes on the door of the family home the qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n * * * * * ' but wrote : ' i am not racist ' . one of the notes , seen by katu , read : ` apes were never meant to drive so stop . ' .",Eva Chapin is 34 years old.,Eva Chapi is from West Linn.,Eva Chapi is from Oregon.,Eva Chapi has been accused of harassment.,Eva Chapi referred to her neighbors as ' n ***** '.,Eva Chapi insists she is not racist.,Eva Chapi wront a note.,The note said that there were non [ expletive ] in West Linn untill the neighbors came.,Victim/neighbors said her family may be forced to move.,Victim/neighbors said they don't feel safe.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,n,n,{},,
9,307L9TDWK2G6IWAR055I7KZ1YOKN3T,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:03 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:03 PDT 2020,,,32M8BPYGAYAIKR8IP64BAQOFFSSGIJ,A13GUTDMGGZZDL,Submitted,2020-05-28 12:33:01,2020-05-28 12:35:39,Sun May 31 12:35:39 PDT 2020,,,,158,100% (47/47),100% (47/47),100% (47/47),cnndm11351,matchsumm_out,"['1328', '1329', '1330', '1331', '1332', '1333', '1334', '1335', '1336', '1337', '1338', '1339', '1340', '1341', '1342', '1343']","apple made significant improvements to the battery life of its iphone 6 and 6 plus , but they still fail to last more than a full day with typical usage . fan site appleinsider has spotted nine job listings on apple's official recruitment site in the past month that relate to batteries . these include one for an ios battery life software engineer ( pictured left ) and another for ios software power systems engineer ( pictured right ) .",Appleinsider spotted nine listings,Appleinsider spotted listings last month,Appleinsider spotted listings related to batteries,The listings include one for an IOS Battery Life Software Engineer,The listings include one for an IOS Software Power Systems Engineer,Appled improved battery life,The battery life of iphone 6 was improved,The battery life of iphone 6 plus was improved,Apple has been criticized for phones,Apple has been criticized for tablets,The criticism includes that phones don't last a day,The criticism includes that tablets don't last a day,BLANK,BLANK,BLANK,BLANK,n,p,n,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
11,307L9TDWK2G6IWAR055I7KZ1YOKN3T,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:03 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:03 PDT 2020,,,3L0KT67Y8J470WWEOOKVLS16TMOYSV,A2STG331R3P3FK,Submitted,2020-05-28 12:58:29,2020-05-28 12:59:33,Sun May 31 12:59:33 PDT 2020,,,,64,0% (0/0),0% (0/0),0% (0/0),cnndm11351,matchsumm_out,"['1328', '1329', '1330', '1331', '1332', '1333', '1334', '1335', '1336', '1337', '1338', '1339', '1340', '1341', '1342', '1343']","apple made significant improvements to the battery life of its iphone 6 and 6 plus , but they still fail to last more than a full day with typical usage . fan site appleinsider has spotted nine job listings on apple's official recruitment site in the past month that relate to batteries . these include one for an ios battery life software engineer ( pictured left ) and another for ios software power systems engineer ( pictured right ) .",Appleinsider spotted nine listings,Appleinsider spotted listings last month,Appleinsider spotted listings related to batteries,The listings include one for an IOS Battery Life Software Engineer,The listings include one for an IOS Software Power Systems Engineer,Appled improved battery life,The battery life of iphone 6 was improved,The battery life of iphone 6 plus was improved,Apple has been criticized for phones,Apple has been criticized for tablets,The criticism includes that phones don't last a day,The criticism includes that tablets don't last a day,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
12,3087LXLJ7Q4YDCYDJU4MXHSLTLF0F5,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:50:00 PDT 2020,3,BatchId:4057889;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:50:00 PDT 2020,,,3R8YZBNQ9M6C8WL09B5QDF287ZMQ7P,A8UI77795LTGF,Submitted,2020-05-28 12:07:09,2020-05-28 12:13:38,Sun May 31 12:13:38 PDT 2020,,,,389,100% (60/60),100% (60/60),100% (60/60),cnndm9393,matchsumm_out,"['1168', '1169', '1170', '1171', '1172', '1173', '1174', '1175', '1176', '1177', '1178', '1179', '1180', '1181', '1182', '1183']","cuban beauty kathy ferreiro has proved a hit on social media with fans loving photos of her curves , which the miami - based bikini - loving babe says are 100 per cent natural the 21-year - old is being tipped by the miami fashion crowd to rival kim kardashian the super - curvy latina is hoping to be cuba's answer to kim kardashian and has a huge following in colombia and other latin american countries .",Kathy Ferreiro is born in Cuba.,Kathy Ferreiro's curves have attracted fans on social media.,Kathy Ferreiro loves Bikini.,Kathy Ferreiro says photos of her booty are all natural.,Kathy Ferreiro is Miami based.,Kathy Ferreiro is a party girl.,Kathy Ferreiro hopes to become next Kim Kardashian.,Kathy Ferreiro has a huge following in Colombia,Kathy Ferreiro has a huge following in other Latin American countries.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,n,p,p,n,p,p,p,{},,
