,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3B0MCRZMCVIDS6RREIFHOC7X3V8PPQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3MHW492WW51NY7O4ZG1P2KY6JSDVM4,A2H0VR477QHYO7,Submitted,2020-05-23 20:28:14,2020-05-23 20:29:56,Tue May 26 20:29:56 PDT 2020,,,,102,0% (0/0),0% (0/0),0% (0/0),cnndm5272,neusumm_out,"['1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1033', '1034', '1035', '1036', '1037', '1038', '1039']","Mary Ann Diano was left homeless when the storms hit Staten Island , New York , in October 2012 - but now says because of Hurricane Sandy she has met the love of her life and they are buying their dream home together . The 62 - year - old's home has lived in a trailer park in Connecticut every since the disaster where she met her partner Dennis Krauss , whose home in Brooklyn , New York , was also destroyed . A couple who lost their homes and were almost killed in Hurricane Sandy are celebrating a whirlwind of good fortune after winning more than $ 250,000 in the lottery .",Pair were left homeless.,Pair were left homeless after storms,Pair met in Connecticut Trailer Park.,Pair Won Lottery last year.,Pair cashed prize in after Easter to Mark New Start.,The lottery winner was thrilled.,The lottery winner said they met love of their life because of Sandy.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,n,n,{},,
1,3B0MCRZMCVIDS6RREIFHOC7X3V8PPQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3WRFBPLXRFC94G7LR7AJW4VNXYRN3W,AE861G0AY5RGT,Submitted,2020-05-23 19:41:04,2020-05-23 19:45:13,Tue May 26 19:45:13 PDT 2020,,,,249,0% (0/0),0% (0/0),0% (0/0),cnndm5272,neusumm_out,"['1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1033', '1034', '1035', '1036', '1037', '1038', '1039']","Mary Ann Diano was left homeless when the storms hit Staten Island , New York , in October 2012 - but now says because of Hurricane Sandy she has met the love of her life and they are buying their dream home together . The 62 - year - old's home has lived in a trailer park in Connecticut every since the disaster where she met her partner Dennis Krauss , whose home in Brooklyn , New York , was also destroyed . A couple who lost their homes and were almost killed in Hurricane Sandy are celebrating a whirlwind of good fortune after winning more than $ 250,000 in the lottery .",Pair were left homeless.,Pair were left homeless after storms,Pair met in Connecticut Trailer Park.,Pair Won Lottery last year.,Pair cashed prize in after Easter to Mark New Start.,The lottery winner was thrilled.,The lottery winner said they met love of their life because of Sandy.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,n,n,{},,
2,3MQKOF1EF6CUNIL2LV2HGCY4I98WDE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3FFJ6VRIL6CL9NXXB4F8PY1Z8N60IR,AYIFHDQSXQJ6B,Submitted,2020-05-23 18:31:53,2020-05-23 18:57:52,Tue May 26 18:57:52 PDT 2020,,,,1559,0% (0/0),0% (0/0),0% (0/0),cnndm8997,neusumm_out,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie McCrorie has been crowned the winner of the Voice UK 2015 , after beating fellow contestant Lucy O'Byrne in the final . Now mentor Ricky Wilson , his fellow Celebrity Judges Rita Ora , Tom Jones and will.i.am , and most of all bosses at the BBC will all have their fingers crossed for his success . Because it's not just a hit single Stevie Needs , he also has to break the curse of previous winners who have failed to do anything but flop out of the charts .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,{},,
4,3I7KR83SOE1RPSE4K1EC65LJ4HK9KE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3NC5L260MTAM2DNQCHBYC2KPQYQFO1,AE861G0AY5RGT,Submitted,2020-05-23 18:05:49,2020-05-23 18:07:23,Tue May 26 18:07:23 PDT 2020,,,,94,0% (0/0),0% (0/0),0% (0/0),cnndm6714,neusumm_out,"['272', '273', '274', '275', '276', '277', '278', '279', '280', '281', '282', '283', '284', '285', '286', '287']",General Motors has unveiled the Chevrolet - FNR Car ( shown ) . It has ` Dragonfly ' swing doors that open upwards and ` Crystal Laser Headlights ' the car was unveiled at the Shanghai General Motors Gala Night This Week . Chevrolet said the car offered a ` glimpse at mobility of the future . ' .,General Motors unveiled their concept car.,General Motors unveiled their car at an event in Shanghai.,Chevrolet - Fnr has Dragonfly Swing doors.,Chevrolet - Fnr has Crystal Laser headlights.,The car is self driving.,The car is electric.,The car's front chairs can swivel round.,The car can be started using just your eyes.,The car can be started using Iris recognition software.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,n,{},,
5,3I7KR83SOE1RPSE4K1EC65LJ4HK9KE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3ZV9H2YQQIVZRAGZJ816SN8EQAWW3X,A2E746SZEOVYXS,Submitted,2020-05-23 19:57:37,2020-05-23 19:59:37,Tue May 26 19:59:37 PDT 2020,,,,120,0% (0/0),0% (0/0),0% (0/0),cnndm6714,neusumm_out,"['272', '273', '274', '275', '276', '277', '278', '279', '280', '281', '282', '283', '284', '285', '286', '287']",General Motors has unveiled the Chevrolet - FNR Car ( shown ) . It has ` Dragonfly ' swing doors that open upwards and ` Crystal Laser Headlights ' the car was unveiled at the Shanghai General Motors Gala Night This Week . Chevrolet said the car offered a ` glimpse at mobility of the future . ' .,General Motors unveiled their concept car.,General Motors unveiled their car at an event in Shanghai.,Chevrolet - Fnr has Dragonfly Swing doors.,Chevrolet - Fnr has Crystal Laser headlights.,The car is self driving.,The car is electric.,The car's front chairs can swivel round.,The car can be started using just your eyes.,The car can be started using Iris recognition software.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,{},,
6,378G7J1SKPMZFOZ2HQD1MUGPIL9WE7,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3OLF68YTNEPX09TP2Y6GB70K1HHAFS,A12ATVBE1I4567,Submitted,2020-05-23 17:32:38,2020-05-23 17:51:15,Tue May 26 17:51:15 PDT 2020,,,,1117,0% (0/0),0% (0/0),0% (0/0),cnndm10325,neusumm_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","Residents living yards from the scene of the # 60million Hatton Garden Heist have revealed how they were hit by ` Peculiar ' power cuts on the weekend before the daring crime . Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' . Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,n,n,p,p,{},,
7,378G7J1SKPMZFOZ2HQD1MUGPIL9WE7,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3Q5C1WP23RP94ON0030EEUG48T515K,A3PYB8Z6FFWSOV,Submitted,2020-05-23 18:25:33,2020-05-23 18:27:40,Tue May 26 18:27:40 PDT 2020,,,,127,0% (0/0),0% (0/0),0% (0/0),cnndm10325,neusumm_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","Residents living yards from the scene of the # 60million Hatton Garden Heist have revealed how they were hit by ` Peculiar ' power cuts on the weekend before the daring crime . Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' . Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,n,p,p,p,{},,
8,32CXT5U15KR5EJ069NC0CWZ6M20U87,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,333U7HK6IE3B3IIX5YO3G60IFR7JDI,A3V8LIMUUJWUTL,Submitted,2020-05-23 19:00:02,2020-05-23 19:01:07,Tue May 26 19:01:07 PDT 2020,,,,65,0% (0/0),0% (0/0),0% (0/0),cnndm10721,neusumm_out,"['800', '801', '802', '803', '804', '805', '806', '807', '808', '809', '810', '811', '812', '813', '814', '815']",Former Sunderland defender Danny Higginbotham has described a controversial speech made by Roy Keane which he calls ` one of the most bizarre team talks I 've ever experienced ' . Aston Villa winger Shaun Maloney ( right ) scored a free - kick to secure a 1 - 1 draw for the visitors . Republic of Ireland assistant manager Roy Keane ( left ) looks frustrated during his country's draw with Poland .,Danny Higginbotham has a new book .,Danny Higginbotham spent time under Roy Keane.,The book covers Danny Higginbotham's time under Roy Keane .,Danny Higginbotham played for Sunderland.,Sunderland was Roy Keane's team.,Danny Higginbotham played for Sunderland during the 2007 - 08 season,Roy Keane told his players ` basically you 're s *** '.,Roy Keane told his players ` basically you 're s *** ' before a game with Aston Villa.,Roy Keane told one player he was ` not f ****** Good Enough ' to play for the club .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,n,p,p,n,n,n,n,{},,
11,3P4ZBJFX3ZRRL2ZYC1X74C1PUMOWFP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3G5W44VEUC69QMY6P9PNN63S78SKGX,A3KQEFX15OV461,Submitted,2020-05-23 19:53:04,2020-05-23 19:54:57,Tue May 26 19:54:57 PDT 2020,,,,113,0% (0/0),0% (0/0),0% (0/0),cnndm5257,neusumm_out,"['864', '865', '866', '867', '868', '869', '870', '871', '872', '873', '874', '875', '876', '877', '878', '879']","After Fallon told Governor Christie He ` Looked Great , ' The New Jersey politician asked him ; ` If I Look Great , what the Hell's with all the jokes every night ? ' . Then , to make amends , Fallon gave Christie his favorite food - ice cream . Chris Christie appeared on The Tonight Show ( above ) and called out Jimmy Fallon for his weight jokes about the governor .",Chris Christie appeared on The Tonight Show.,Chris Christie called out Jimmy Fallon for his weight jokes about the governor.,Chris Christie called out Jimmy Fallon.,Jimmy Fallon brought out ice cream.,The ice cream was for the two to share.,Chris Christie hoarded the ice cream.,The ice cream was a pint of ice cream.,The ice cream was brought out later in the program.,Chris Christie was asked if he would run for president.,Chris Christie said ; ' I ’ve got a day job which keeps me busy ' .,Chris Christie said ; ' I ’ve got a day job which keeps me busy '  when asked if he would run for president.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,n,{},,
12,3BCRDCM0PHI479C6MUB0MVUHEGCK6E,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:15:23 PDT 2020,2,BatchId:4050534;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:15:23 PDT 2020,,,3TUI152ZZGBYXA6YKVOHC5BV4PQQ1K,A21Y7K669KM1PR,Submitted,2020-05-23 18:16:39,2020-05-23 18:20:47,Tue May 26 18:20:47 PDT 2020,,,,248,0% (0/0),0% (0/0),0% (0/0),cnndm11343,neusumm_out,"['400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '413', '414', '415']","With the confirmation of Danilo's summer switch to Real Madrid , Porto have now received a whopping # 440million from player sales in the last 11 years . Since winning the Champions League under Jose Mourinho in 2004 the Portuguese champions have made a habit of selling on players for huge profits . Porto and Brazil Right Back Danilo will join Real Madrid in the summer in a deal worth # 23million .",Danilo agrred this week.,Danilo agreed to join Real Madrid.,Danilo agreed to join in the summer.,Danilo agreed to join for 23 million.,Total player sales is 440 million since 2004.,James Rodriguez sold by Porto.,Pepe sold by Porto.,Radamel Falcao sold by Porto.,Click here for all the latest Real Madrid News .,Players sold by Porto.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,p,p,p,n,n,n,n,{},,
