,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,308KJXFUKVU4XUEW6G643RJZTCTTAJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:11 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:11 PDT 2020,,,31JLPPHS2ZIRM17XSMAWBTVSN9H3OE,A12ATVBE1I4567,Submitted,2020-05-23 23:36:42,2020-05-24 00:03:27,Wed May 27 00:03:27 PDT 2020,,,,1605,0% (0/0),0% (0/0),0% (0/0),cnndm10542,bart_out,"['928', '929', '930', '931', '932', '933', '934', '935', '936', '937', '938', '939', '940', '941', '942', '943']","Dundee United Striker Nadir CIFTCI celebrated a goal by blowing a kiss at opposition goalkeeper Scott Bain . The 23 - year - old celebrated by trying to Rile Dundee No 1 Bain , but his actions came back to haunt him as the Dark Blues earned all three points thanks to further goals from Jake McPake and Paul Heffernan . Dundee's first win in a derby for more than 10 years .",Nadir Ciftci celebrated.,Nadir Ciftci blew a kiss.,The kiss was directed to rival goalkeeper.,The rival goalkeeper was Scott Bain.,Ciftci was left blushing.,Rivals earned an impressive victory .,The win gave hosts / Dundee their first Derby win in more than a decade .,The win was a Dundee win.,Hosts were Dundee.,Greg Stewart scored goal/goals.,Jake mcpake scored goal/goals.,Paul Heffernen scored goal/goals.,The goals secured a win.,BLANK,BLANK,BLANK,n,p,p,p,n,n,n,p,p,p,p,n,p,p,p,n,{},,
2,30F94FBDOV89G4JOCU60Y235BUETBE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:12 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:12 PDT 2020,,,3P529IW9K39EWSKTZPV6KLGVVTXFLW,A314XJY8V1YL12,Submitted,2020-05-23 19:52:33,2020-05-23 19:53:23,Tue May 26 19:53:23 PDT 2020,,,,50,0% (0/0),0% (0/0),0% (0/0),cnndm10231,bart_out,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","Drew Miller was struck by Ottawa's Mark Stone's skate during the first period of Tuesday's game between the Red Wings and the Senators . Miller was left with a scar across his eye , but reportedly didn't suffer any damage to his eyesight . The team said he will likely return Thursday against Boston .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,n,n,{},,
3,30F94FBDOV89G4JOCU60Y235BUETBE,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:12 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:12 PDT 2020,,,3S4AW7T80G64YCN4F8ZNTHJ463DL43,AE861G0AY5RGT,Submitted,2020-05-23 18:11:50,2020-05-23 18:30:27,Tue May 26 18:30:27 PDT 2020,,,,1117,0% (0/0),0% (0/0),0% (0/0),cnndm10231,bart_out,"['544', '545', '546', '547', '548', '549', '550', '551', '552', '553', '554', '555', '556', '557', '558', '559']","Drew Miller was struck by Ottawa's Mark Stone's skate during the first period of Tuesday's game between the Red Wings and the Senators . Miller was left with a scar across his eye , but reportedly didn't suffer any damage to his eyesight . The team said he will likely return Thursday against Boston .",Drew Miller plays for Detroit Red Wings.,Drew Miller was caught by a skate.,Drew Miller was caught in the first period.,Detroit Red Wings played against Ottawa Senators.,The cut required stitches to close.,The cut required 50-60 stitches to close.,The cut did not damage Miller's eye.,The Detroit Red Wings lost 2-1.,The Detroit Red wings remain in third place.,The Detroit Red Wings play in the Atlantic Division.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,n,n,{},,
5,3126F2F5GCR9VF2154Z6U08TPO6EPU,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:20 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:20 PDT 2020,,,3ZPPDN2SL0KRPCJOFH8AXU40JYT9E3,ALOYY3E72AQ1K,Submitted,2020-05-23 18:37:43,2020-05-23 18:51:55,Tue May 26 18:51:55 PDT 2020,,,,852,0% (0/0),0% (0/0),0% (0/0),cnndm1153,bart_out,"['768', '769', '770', '771', '772', '773', '774', '775', '776', '777', '778', '779', '780', '781', '782', '783']","The four - poster oak wood bed was dumped in car park of Redland House Hotel in Chester and later sold at auction for £ 2,200 . TV historian Jonathan Foyle has spent years trying to prove the artefact's historical roots and has now revealed that DNA testing on the bed's timber proved it once belonged to King Henry VII . He has traced it back to 1495 , when Henry VII went to Lathom in Lancashire to see the Stanley family , who had helped him to victory in the Battle of Bosworth in 1485 . The bed also features carvings of biblical scenes of Henry and his wife Elizabeth of York styled as Adam and Eve .",A bed was dumped.,A bed was left in a hotel car park.,The bed was a four - poster bed.,"The bed sold at auction for 2,200.",Owner suspected it had historic value.,Experts have been investigating.,Historian now claims the bed belonged to Henry VII .,"DNA from the timber proves who the bed belonged to, it is claimed.",The bed is ornate.,The bed is now on display.,The bed was made for Henry VII / King.,The bed was also made for Henry VII's wife / King's wife / Elizabeth of York .,Elizabeth of York was wife of Henry VII / King.,The bed sold at an auction.,BLANK,BLANK,n,p,p,p,p,n,n,p,p,p,p,n,p,p,p,p,{},,
6,31HLTCK4CPJKKDVOXBYT0VINOSMGVY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:20 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:20 PDT 2020,,,352YTHGRO012CG4EONKP1PQXPMBH4Z,A28TPZXB90CE1D,Submitted,2020-05-23 19:09:14,2020-05-23 19:10:19,Tue May 26 19:10:19 PDT 2020,,,,65,0% (0/0),0% (0/0),0% (0/0),cnndm1273,bart_out,"['1584', '1585', '1586', '1587', '1588', '1589', '1590', '1591', '1592', '1593', '1594', '1595', '1596', '1597', '1598', '1599']","Lindsay Sandiford , 58 , from Cheltenham , fears she will be next to face firing squad . She was sentenced to death after Indonesian police linked her to almost five kilograms of cocaine . Australians Andrew Chan , 31 , and Myuran Sukumaran , 33 , were executed along with six other prisoners by an Indonesian firing squad on Bali's ' Death Island ' she said : ' The men shot dead were reformed men – Good Men who transformed the lives of people around them ' .",Lindsay Sandiford is afraid,Lindsay Sandiford fears she will be next to face the firing squad,Andrew Chan was killed,Myuran Sukumaran was killed,Lindsay Sandiford is 58 year old.,Lindsay Sandiford has been on a death row.,Lindsay Sandiford has been in Bali.,Lindsay Sandiford has been on a death row since 2012.,Lindsay Sandiford was convicted in 2012.,Lindsay Sandiford was convicted for attempting to smuggle cocaine,The cocaine was worth 1.6 million,Myuran Sukumaran had a final KFC bucket meal,Andrew Chan had a final KFC bucket meal,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
7,31HLTCK4CPJKKDVOXBYT0VINOSMGVY,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:20 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:20 PDT 2020,,,36AHBNMV1W01Y7DWRYP6QTF6SV7YDI,A12ATVBE1I4567,Submitted,2020-05-23 17:59:22,2020-05-23 18:48:05,Tue May 26 18:48:05 PDT 2020,,,,2923,0% (0/0),0% (0/0),0% (0/0),cnndm1273,bart_out,"['1584', '1585', '1586', '1587', '1588', '1589', '1590', '1591', '1592', '1593', '1594', '1595', '1596', '1597', '1598', '1599']","Lindsay Sandiford , 58 , from Cheltenham , fears she will be next to face firing squad . She was sentenced to death after Indonesian police linked her to almost five kilograms of cocaine . Australians Andrew Chan , 31 , and Myuran Sukumaran , 33 , were executed along with six other prisoners by an Indonesian firing squad on Bali's ' Death Island ' she said : ' The men shot dead were reformed men – Good Men who transformed the lives of people around them ' .",Lindsay Sandiford is afraid,Lindsay Sandiford fears she will be next to face the firing squad,Andrew Chan was killed,Myuran Sukumaran was killed,Lindsay Sandiford is 58 year old.,Lindsay Sandiford has been on a death row.,Lindsay Sandiford has been in Bali.,Lindsay Sandiford has been on a death row since 2012.,Lindsay Sandiford was convicted in 2012.,Lindsay Sandiford was convicted for attempting to smuggle cocaine,The cocaine was worth 1.6 million,Myuran Sukumaran had a final KFC bucket meal,Andrew Chan had a final KFC bucket meal,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
9,32W3UF2E0S989OW4BT1N1EXVDGXC48,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:16 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:16 PDT 2020,,,39U1BHVTDQF7ZTC5O3WV531FMGG3TG,A59L67EZKMC3V,Submitted,2020-05-23 20:19:59,2020-05-23 20:21:22,Tue May 26 20:21:22 PDT 2020,,,,83,0% (0/0),0% (0/0),0% (0/0),cnndm7770,bart_out,"['160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175']",Catherine Nevin was allowed out on day release on Wednesday afternoon . The 62 - year - old was permitted to attend an addiction studies course . She was jailed for life in April 2000 for arranging to have her publican husband Tom shot dead . She laughed and joked with a pal for more than an hour at the nearby Applegreen Garage before her course started .,Catherine Nevin was allowed out.,Catherine Nevin was jailed for life.,Catherine Nevin was jailed in April,Catherine Nevin was jailed in 2000,Catherine Nevin is a 62 year old.,Catherine Nevin was seen on the bus.,Catherine Nevin was with a pal.,Catherine Nevin was walking around in Dublin.,Catherine Nevin sat on a bus.,Catherine Nevin sat next to a commuter.,Catherine Nevin was unnoticed.,Catherine Nevin is Ireland's most infamous prisoner.,Catherine Nevin murdered husband.,Tom was Catherine Nevin's husband,Catherine Nevin murdered her husband in 1996.,BLANK,n,n,n,p,p,n,n,p,p,p,p,p,n,p,n,n,{},,
10,334ZEL5JYA3SKYVIRZ6WUH7IGAJOSO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:15 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:15 PDT 2020,,,3M0BCWMB80K4U5KCY1GCA66QE22BWW,AHKYVHP6591H8,Submitted,2020-05-23 18:42:56,2020-05-23 18:59:09,Tue May 26 18:59:09 PDT 2020,,,,973,100% (31/31),100% (31/31),100% (31/31),cnndm3583,bart_out,"['1264', '1265', '1266', '1267', '1268', '1269', '1270', '1271', '1272', '1273', '1274', '1275', '1276', '1277', '1278', '1279']",The inaugural Tour de Yorkshire will run over three stages starting in Bridlington on May 1 . Matt Prior's One Pro Cycling Team has been confirmed in the list of entrants for the elite event . The former England wicketkeeper is a long - time cycling fan who was mocked by Kevin Pietersen last summer for taking his bike with him on a tour of New Zealand .,One Pro Cycling preparing to take on Team Sky,One Pro Cycling preparing to take on Sir Bradley Wiggins.,Tour de Yorkshire runs over three stages.,Tour de Yorkshire starts in Bridlington.,Tour de Yorkshire starts on May 1.,Tour de Yorkshire is inspired by Tour de France Grand.,Prior's team departs for Tour de Yorkshire.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,{},,
11,334ZEL5JYA3SKYVIRZ6WUH7IGAJOSO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:15 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:15 PDT 2020,,,3UJ1CZ6IZMD9Y8MUDMFYAV3DYTCS5P,A12ATVBE1I4567,Submitted,2020-05-23 17:50:39,2020-05-23 18:06:34,Tue May 26 18:06:34 PDT 2020,,,,955,0% (0/0),0% (0/0),0% (0/0),cnndm3583,bart_out,"['1264', '1265', '1266', '1267', '1268', '1269', '1270', '1271', '1272', '1273', '1274', '1275', '1276', '1277', '1278', '1279']",The inaugural Tour de Yorkshire will run over three stages starting in Bridlington on May 1 . Matt Prior's One Pro Cycling Team has been confirmed in the list of entrants for the elite event . The former England wicketkeeper is a long - time cycling fan who was mocked by Kevin Pietersen last summer for taking his bike with him on a tour of New Zealand .,One Pro Cycling preparing to take on Team Sky,One Pro Cycling preparing to take on Sir Bradley Wiggins.,Tour de Yorkshire runs over three stages.,Tour de Yorkshire starts in Bridlington.,Tour de Yorkshire starts on May 1.,Tour de Yorkshire is inspired by Tour de France Grand.,Prior's team departs for Tour de Yorkshire.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,{},,
12,338431Z1GP3GJJV5CA6R472MU80OR0,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:12:12 PDT 2020,2,BatchId:4050530;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:12:12 PDT 2020,,,32EYX73OY5XEI8CWZYN1SXQXB81RUX,A1A3J5IXCM8A7X,Submitted,2020-05-23 19:50:28,2020-05-23 19:52:02,Tue May 26 19:52:02 PDT 2020,,,,94,0% (0/0),0% (0/0),0% (0/0),cnndm6048,bart_out,"['704', '705', '706', '707', '708', '709', '710', '711', '712', '713', '714', '715', '716', '717', '718', '719']",David Axelrod masterminded two presidential election victories for Barack Obama . He was hired by the Labour leader Amid great fanfare last year . Has helped refine Mr Miliband ’s message about tackling the cost of living and making sure the wealthy pay their fair share . Mr Axelrod makes infrequent visits to the UK to meet Mr Miliband and offers advice by phone .,David Axelrod masterminded election victories .,David Axelrod was behind two election victories.,The past election victories were for presidential elections.,David Axelrod was hired by Labour leader Ed Miliband.,The hiring occurred last year.,The hiring occurred amid great fanfare.,David Axelrod revealed something at a book launch.,David Axelrod revealed he is not resident for tax purposes in UK .,David Axelrod is paid in dollars.,David Axelrod is paid through consultancy firm .,Labour confirms details of David Axelrod's payment.,The past election victories were for Obama.,BLANK,BLANK,BLANK,BLANK,n,n,p,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
