,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3APP19WN852Z5NGNW3QLO32O7316GB,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,37UQDCYH62J4D4HHVAZ0J21GORL7VK,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:56:53,2020-05-28 13:58:52,Sun May 31 13:58:52 PDT 2020,,,,119,100% (411/411),100% (411/411),100% (411/411),cnndm8001,refresh_out,"['560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575']","Council chiefs were condemned last night after claiming it was too dangerous to collect the roadside litter blighting Britain . Winchester Council in Hampshire said its annual clean-up of roads around the city had been hit by new Health and Safety Executive rules designed to protect litter-pickers from traffic . But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation . Last night , former Poet Laureate Sir Andrew Motion , now president of the Campaign to Protect Rural England , accused town hall bosses and the Highways Agency of ruining the countryside by failing to remove rubbish .",Winchester Council is in Hampshire,Winchester Council claimed annual clean - up,Winchester Council was hit by new rules.,Health and Safety Executive denied tightening rules.,Health and Safety Executive said that counciles were over-interpreting legislation.,Sir Andrew Motion is a poet laureate.,Sir Andrew Motion accused Town Hall bosses.,Sir Andrew Motion accused Highways Agency.,The accusation was of ruining the countryside.,The accusation was of failing to remove rubbish.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
1,3APP19WN852Z5NGNW3QLO32O7316GB,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3GU1KF0O4NPEAWNBMF2HICYULT8BPM,AWPRKXU5UNLMN,Submitted,2020-05-28 13:43:45,2020-05-28 13:43:51,Sun May 31 13:43:51 PDT 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),cnndm8001,refresh_out,"['560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575']","Council chiefs were condemned last night after claiming it was too dangerous to collect the roadside litter blighting Britain . Winchester Council in Hampshire said its annual clean-up of roads around the city had been hit by new Health and Safety Executive rules designed to protect litter-pickers from traffic . But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation . Last night , former Poet Laureate Sir Andrew Motion , now president of the Campaign to Protect Rural England , accused town hall bosses and the Highways Agency of ruining the countryside by failing to remove rubbish .",Winchester Council is in Hampshire,Winchester Council claimed annual clean - up,Winchester Council was hit by new rules.,Health and Safety Executive denied tightening rules.,Health and Safety Executive said that counciles were over-interpreting legislation.,Sir Andrew Motion is a poet laureate.,Sir Andrew Motion accused Town Hall bosses.,Sir Andrew Motion accused Highways Agency.,The accusation was of ruining the countryside.,The accusation was of failing to remove rubbish.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,n,{},,
2,3APP19WN852Z5NGNW3QLO32O7316GB,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3X65QVEQI5B7TG0J8N55CFVSY4ACLZ,AOWLCXNXCSQAC,Submitted,2020-05-28 14:00:39,2020-05-28 14:01:13,Sun May 31 14:01:13 PDT 2020,,,,34,100% (455/455),100% (455/455),100% (455/455),cnndm8001,refresh_out,"['560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575']","Council chiefs were condemned last night after claiming it was too dangerous to collect the roadside litter blighting Britain . Winchester Council in Hampshire said its annual clean-up of roads around the city had been hit by new Health and Safety Executive rules designed to protect litter-pickers from traffic . But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation . Last night , former Poet Laureate Sir Andrew Motion , now president of the Campaign to Protect Rural England , accused town hall bosses and the Highways Agency of ruining the countryside by failing to remove rubbish .",Winchester Council is in Hampshire,Winchester Council claimed annual clean - up,Winchester Council was hit by new rules.,Health and Safety Executive denied tightening rules.,Health and Safety Executive said that counciles were over-interpreting legislation.,Sir Andrew Motion is a poet laureate.,Sir Andrew Motion accused Town Hall bosses.,Sir Andrew Motion accused Highways Agency.,The accusation was of ruining the countryside.,The accusation was of failing to remove rubbish.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
3,3XEIP58NM4BHFPEZ9ZKCYT0R8OKLZN,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,30X31N5D68E64EYB8I6FI6JZQVWAS8,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:52:57,2020-05-28 13:55:38,Sun May 31 13:55:38 PDT 2020,,,,161,100% (411/411),100% (411/411),100% (411/411),cnndm4725,refresh_out,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']","Rory McIlroy put the golf clubs away as he battled with Fifty Shades of Grey star Jamie Dornan to promote new football concept Circular Soccer . McIlroy was filmed battling with fellow Northern Irishman Dornan during a match of Circular Soccer , a new football game based around a three sided goal and aimed to improve skill and ball control . The World No 1 golfer defeated the film star 2-1 to take the crown , with the deciding goal coming from an impressive long-range finish . McIlroy was taking time away from golf after competing at the Masters in Augusta where he overcame a slow to start to finish an impressive fourth .",Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
5,3XEIP58NM4BHFPEZ9ZKCYT0R8OKLZN,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3Z4XG4ZF4DF0H7RV5USOLNUWFMV8X7,AOWLCXNXCSQAC,Submitted,2020-05-28 13:37:50,2020-05-28 13:40:09,Sun May 31 13:40:09 PDT 2020,,,,139,100% (455/455),100% (455/455),100% (455/455),cnndm4725,refresh_out,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']","Rory McIlroy put the golf clubs away as he battled with Fifty Shades of Grey star Jamie Dornan to promote new football concept Circular Soccer . McIlroy was filmed battling with fellow Northern Irishman Dornan during a match of Circular Soccer , a new football game based around a three sided goal and aimed to improve skill and ball control . The World No 1 golfer defeated the film star 2-1 to take the crown , with the deciding goal coming from an impressive long-range finish . McIlroy was taking time away from golf after competing at the Masters in Augusta where he overcame a slow to start to finish an impressive fourth .",Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
7,3Y3CZJSZAOHUB9PN7VASV12VDH1R5C,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3C44YUNSI6D7PTLV0BTND2MUOEJPD6,A3P7QP6K56ED2Z,Submitted,2020-05-28 13:39:43,2020-05-28 13:42:21,Sun May 31 13:42:21 PDT 2020,,,,158,100% (411/411),100% (411/411),100% (411/411),cnndm5476,refresh_out,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']","A British barman is set to enter the record books after running 16,300 miles around the globe over 621 days while wearing out 16 pairs of shoes . Kevin Carr set off from Haytor on Dartmoor in July 2013 and every day since then he has completed on average one and a quarter marathons a day . Now , after covering an estimated 36,000,000 steps over the past 19 months he is just 24 hours from returning to his starting point . The 35-year-old from Woolacombe in Devon is currently in his home county and is due to complete his 16,300-mile epic journey on Thursday .",Kevin Carr set off on his journey from Haytor.,Kevin Carr set off on his journey from Dartmoor.,Kevin Carr set off on his journey in July 2013.,Kevin Carr is less than 24 hours away from completing his trip.,Kevin Carr ran around the world unsupported.,Kevin Carr ran with his tent.,Kevin Carr is set to break the previous record.,Kevin Carr is set to break the record by 24 hours.,The previous record was held by an Australian.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
8,3Y3CZJSZAOHUB9PN7VASV12VDH1R5C,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3L4D84MIL4GSFYNZRU7T7RFG77AJHD,AOWLCXNXCSQAC,Submitted,2020-05-28 13:59:56,2020-05-28 14:00:55,Sun May 31 14:00:55 PDT 2020,,,,59,100% (455/455),100% (455/455),100% (455/455),cnndm5476,refresh_out,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']","A British barman is set to enter the record books after running 16,300 miles around the globe over 621 days while wearing out 16 pairs of shoes . Kevin Carr set off from Haytor on Dartmoor in July 2013 and every day since then he has completed on average one and a quarter marathons a day . Now , after covering an estimated 36,000,000 steps over the past 19 months he is just 24 hours from returning to his starting point . The 35-year-old from Woolacombe in Devon is currently in his home county and is due to complete his 16,300-mile epic journey on Thursday .",Kevin Carr set off on his journey from Haytor.,Kevin Carr set off on his journey from Dartmoor.,Kevin Carr set off on his journey in July 2013.,Kevin Carr is less than 24 hours away from completing his trip.,Kevin Carr ran around the world unsupported.,Kevin Carr ran with his tent.,Kevin Carr is set to break the previous record.,Kevin Carr is set to break the record by 24 hours.,The previous record was held by an Australian.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
10,335VBRURENOO3SMUOF398A8EKOUE9D,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3GFK2QRXXE525P33XRPZ7K6Y4URW53,AWPRKXU5UNLMN,Submitted,2020-05-28 13:58:31,2020-05-28 13:58:38,Sun May 31 13:58:38 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),cnndm10325,refresh_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","Residents living yards from the scene of the # 60million Hatton Garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime . They also claim to have heard ` drilling ' noises on the evening of Good Friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks . Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' . Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,n,p,p,p,p,p,{},,
11,335VBRURENOO3SMUOF398A8EKOUE9D,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3VZLGYJEYQYF13SIEKS1Y7R0EV4ZX5,A1XRIEYLA7ZJ3B,Submitted,2020-05-28 13:52:27,2020-05-28 13:59:42,Sun May 31 13:59:42 PDT 2020,,,,435,100% (45/45),100% (45/45),100% (45/45),cnndm10325,refresh_out,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']","Residents living yards from the scene of the # 60million Hatton Garden heist have revealed how they were hit by ` peculiar ' power cuts on the weekend before the daring crime . They also claim to have heard ` drilling ' noises on the evening of Good Friday , but thought at the time that this was simply a continuation of road works that had been taking place in recent weeks . Meanwhile it has also been alleged that the thieves returned a day after the initial robbery in central London to steal more loot after becoming ` greedy ' . Scotland Yard admitted last week that an alarm first went off at the scene after midnight on Good Friday , but it was graded as ` no police response was deemed to be required ' .",There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
13,3QMELQS6Z9ZQUDP1CEKXN7GV9CCR6S,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3GNCZX450NB9RMIJG12LN1EO3BLPA3,AOWLCXNXCSQAC,Submitted,2020-05-28 13:34:25,2020-05-28 13:36:01,Sun May 31 13:36:01 PDT 2020,,,,96,100% (455/455),100% (455/455),100% (455/455),cnndm4315,refresh_out,"['1184', '1185', '1186', '1187', '1188', '1189', '1190', '1191', '1192', '1193', '1194', '1195', '1196', '1197', '1198', '1199']","Fashion-conscious militants fighting for the Islamic State in Syria have been dealt a blow after their commanders banned them wearing products made by Nike . The sports brand features prominently on a leaflet distributed in the terror group's de facto capital Raqqa warning ISIS jihadis about items of clothing they are no longer allowed to wear . The news comes shortly after one militant decried the popularity of Nike among ISIS fighters , comparing the brand's name and famous ` tick ' logo to wearing a Christian cross . Images of the leaflet banning Nike clothing was shared online by the activist group Raqqa is Being Slaughtered Silently who translated it from Arabic .",Jihadis face fines fines for wearing Nike products.,Jihadis face whipping for wearing Nike products.,Jihadis face jail time for wearing Nike products.,Jihadis have banned Nike products.,Ban is due to the brand name.,The Nike brand name is shared with a Greek goddess.,Ban is also due to how the brand name sounds in Arabic.,The brand name sounds like sexual slang words in Arabic.,People under ISIS are already banned from wearing jeans.,ISIS also banned items of clothing carrying provocative language or swear words.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
14,3QMELQS6Z9ZQUDP1CEKXN7GV9CCR6S,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3IKZ72A5B944KSNEB2BLXDKK0CZFNC,AWPRKXU5UNLMN,Submitted,2020-05-28 13:45:45,2020-05-28 13:45:52,Sun May 31 13:45:52 PDT 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),cnndm4315,refresh_out,"['1184', '1185', '1186', '1187', '1188', '1189', '1190', '1191', '1192', '1193', '1194', '1195', '1196', '1197', '1198', '1199']","Fashion-conscious militants fighting for the Islamic State in Syria have been dealt a blow after their commanders banned them wearing products made by Nike . The sports brand features prominently on a leaflet distributed in the terror group's de facto capital Raqqa warning ISIS jihadis about items of clothing they are no longer allowed to wear . The news comes shortly after one militant decried the popularity of Nike among ISIS fighters , comparing the brand's name and famous ` tick ' logo to wearing a Christian cross . Images of the leaflet banning Nike clothing was shared online by the activist group Raqqa is Being Slaughtered Silently who translated it from Arabic .",Jihadis face fines fines for wearing Nike products.,Jihadis face whipping for wearing Nike products.,Jihadis face jail time for wearing Nike products.,Jihadis have banned Nike products.,Ban is due to the brand name.,The Nike brand name is shared with a Greek goddess.,Ban is also due to how the brand name sounds in Arabic.,The brand name sounds like sexual slang words in Arabic.,People under ISIS are already banned from wearing jeans.,ISIS also banned items of clothing carrying provocative language or swear words.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,p,n,{},,
16,3A520CCNXRO28BWZGLH945JYQ6CEAS,3XA69K8C52CKKED9ZUN20QQN2BP1WQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.15,Thu May 28 11:54:59 PDT 2020,3,BatchId:4057904;OriginalHitTemplateId:928390828;,5400,259200,Fri May 29 11:54:59 PDT 2020,,,3ITXP059P17H571F2OJSB5MIGIRSJ7,A3HSYD08BL5LE2,Submitted,2020-05-28 14:01:40,2020-05-28 14:03:50,Sun May 31 14:03:50 PDT 2020,,,,130,0% (0/0),0% (0/0),0% (0/0),cnndm2748,refresh_out,"['1040', '1041', '1042', '1043', '1044', '1045', '1046', '1047', '1048', '1049', '1050', '1051', '1052', '1053', '1054', '1055']","A mother was horrified to find a dead gecko stuck to the lining of a jacket she bought from Asda . Paula Dunican spent # 25 on the baby blue coat at her local branch in Canterbury , Kent . But when the 49-year-old took it home to try on , she noticed a dark stain ` seeping through ' from the its lining . Inside , a four inch-long gecko was flattened , its scales imprinted onto the fabric . ' .",Paula Dunican paid 25.,Paula Dunican paid for the Baby Blue Coat,Paula Dunican paid at her local branch of Asda.,Paula Dunican noticed a ' seeping ' stain.,Paula Dunican noticed stain on the back of coat.,Paula Dunican noticed stain when she took the coat home.,Paula Dunican discovered the reptile ' s crushed body.,Paula Dunican discovered the reptile body on the garment 's lining.,Paula Dunican discovered the body after noticing the stain.,The supermarket apologised.,The supermarket offered Paula Dunican a 40 voucher.,The supermarket offered Paula Dunican a refund.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,p,p,p,p,{},,
