,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,30EMX9PEWO79U7A3T7E3N0Q9W59KS0,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:49 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:49 PDT 2020,,,3I02618YA5UT6VWHM6JCN2QIAQLPUB,A1A3J5IXCM8A7X,Submitted,2020-05-23 21:31:47,2020-05-23 21:32:34,Tue May 26 21:32:34 PDT 2020,,,,47,0% (0/0),0% (0/0),0% (0/0),cnndm10542,presumm_out_abs,"['928', '929', '930', '931', '932', '933', '934', '935', '936', '937', '938', '939', '940', '941', '942', '943']",Dundee United striker Nadir ciftci scored a goal by blowing a kiss at opposition goalkeeper Scott Bain . The 23 - year - old celebrated by trying to Rile Bain but his actions came back to haunt him . It was Dundee's first win in a derby for more than 10 years .,Nadir Ciftci celebrated.,Nadir Ciftci blew a kiss.,The kiss was directed to rival goalkeeper.,The rival goalkeeper was Scott Bain.,Ciftci was left blushing.,Rivals earned an impressive victory .,The win gave hosts / Dundee their first Derby win in more than a decade .,The win was a Dundee win.,Hosts were Dundee.,Greg Stewart scored goal/goals.,Jake mcpake scored goal/goals.,Paul Heffernen scored goal/goals.,The goals secured a win.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,p,n,{},,
1,30EMX9PEWO79U7A3T7E3N0Q9W59KS0,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:49 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:49 PDT 2020,,,3WS1NTTKE301ZWV7AW9NM1O7SVQF0R,A12ATVBE1I4567,Submitted,2020-05-23 20:43:13,2020-05-23 20:57:47,Tue May 26 20:57:47 PDT 2020,,,,874,0% (0/0),0% (0/0),0% (0/0),cnndm10542,presumm_out_abs,"['928', '929', '930', '931', '932', '933', '934', '935', '936', '937', '938', '939', '940', '941', '942', '943']",Dundee United striker Nadir ciftci scored a goal by blowing a kiss at opposition goalkeeper Scott Bain . The 23 - year - old celebrated by trying to Rile Bain but his actions came back to haunt him . It was Dundee's first win in a derby for more than 10 years .,Nadir Ciftci celebrated.,Nadir Ciftci blew a kiss.,The kiss was directed to rival goalkeeper.,The rival goalkeeper was Scott Bain.,Ciftci was left blushing.,Rivals earned an impressive victory .,The win gave hosts / Dundee their first Derby win in more than a decade .,The win was a Dundee win.,Hosts were Dundee.,Greg Stewart scored goal/goals.,Jake mcpake scored goal/goals.,Paul Heffernen scored goal/goals.,The goals secured a win.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,n,n,p,p,n,{},,
2,30EMX9PEWO79U7A3T7E3N0Q9W59SK8,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:48 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:48 PDT 2020,,,3LRKMWOKBA5E0NPLQV788HX41YQZ25,AE3ZQZ2Z81Z11,Submitted,2020-05-23 18:22:16,2020-05-23 18:23:56,Tue May 26 18:23:56 PDT 2020,,,,100,0% (0/0),0% (0/0),0% (0/0),cnndm3152,presumm_out_abs,"['1440', '1441', '1442', '1443', '1444', '1445', '1446', '1447', '1448', '1449', '1450', '1451', '1452', '1453', '1454', '1455']","The 21 - year - old singer argued with security after being stopped at the artists ' entrance where Drake was performing at the event in Indio , California . A video obtained by TMZ appears to shows Bieber being put in a chokehold and escorted from the area . Bieber's team tangled with security and the singer was then ordered to leave the festival . Sources close to Bieber told TMZ that he voluntarily left and was considering taking legal action against the security guards .",Bieber is the singer.,Singer/Bieber arrived at the artists' entrance.,Singer/Bieber tried to gain entry to Drake's gig .,Security said area was at full capacity.,Security denied admission.,A row erupted.,A staffer tried to get singer/Bieber into the gig .,That staffer was a Coachella staffer .,Security intervened.,Security put singer/Bieber in chokehold.,Security removed singer/Bieber from the area .,Admission was denied to singer/Bieber.,The security was festival security.,BLANK,BLANK,BLANK,p,p,p,p,n,n,n,p,p,p,n,p,p,n,n,p,{},,
3,30EMX9PEWO79U7A3T7E3N0Q9W59SK8,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:48 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:48 PDT 2020,,,3R5F3LQFV78S7UEQDT55FU0723GOZU,AHKYVHP6591H8,Submitted,2020-05-23 17:42:28,2020-05-23 18:12:47,Tue May 26 18:12:47 PDT 2020,,,,1819,100% (31/31),100% (31/31),100% (31/31),cnndm3152,presumm_out_abs,"['1440', '1441', '1442', '1443', '1444', '1445', '1446', '1447', '1448', '1449', '1450', '1451', '1452', '1453', '1454', '1455']","The 21 - year - old singer argued with security after being stopped at the artists ' entrance where Drake was performing at the event in Indio , California . A video obtained by TMZ appears to shows Bieber being put in a chokehold and escorted from the area . Bieber's team tangled with security and the singer was then ordered to leave the festival . Sources close to Bieber told TMZ that he voluntarily left and was considering taking legal action against the security guards .",Bieber is the singer.,Singer/Bieber arrived at the artists' entrance.,Singer/Bieber tried to gain entry to Drake's gig .,Security said area was at full capacity.,Security denied admission.,A row erupted.,A staffer tried to get singer/Bieber into the gig .,That staffer was a Coachella staffer .,Security intervened.,Security put singer/Bieber in chokehold.,Security removed singer/Bieber from the area .,Admission was denied to singer/Bieber.,The security was festival security.,BLANK,BLANK,BLANK,p,p,p,n,n,n,n,p,p,p,n,p,n,n,n,p,{},,
4,30IRMPJWE37XTSAQEIEYXQLDA3QKRC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:49 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:49 PDT 2020,,,3IAS3U3I0K4IIPM5KHR5MZQ1AV02BY,AE3ZQZ2Z81Z11,Submitted,2020-05-23 17:50:37,2020-05-23 17:51:40,Tue May 26 17:51:40 PDT 2020,,,,63,0% (0/0),0% (0/0),0% (0/0),cnndm6564,presumm_out_abs,"['1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087']","Maren Sanchez , 16 , was stabbed to death at Jonathan Law High School in Milford , Connecticut on April 25 , 2014 . A classmate , Christopher Plaskon , has been charged with murder as an adult . Sanchez's mother , Donna Cimarelli , said : ` If you knew Maren , she would have embraced an event like this ' .",Maren Sanchez was 16 year old.,Maren Sanchez stabbed to death.,Maren Sanchez was stabbed a year ago.,Maren Sanchez was stabbed on the day of Prom.,The life of Maren Sanchez was celebrated on Saturday.,The life of Maren Sanchez was celebrated by hundreds of people.,Someone doesn't thinks there's anything sad about the celebration.,Christopher Plaskon was a classmate of Maren Sanchez.,Christopher Plaskon has been charged with Sanchez's murder.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,p,p,{},,
5,30IRMPJWE37XTSAQEIEYXQLDA3QKRC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:49 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:49 PDT 2020,,,3OVHNO1VEBP13XN1NKRP40O8YPJZDI,A1E8PIR82KIJEP,Submitted,2020-05-23 18:59:12,2020-05-23 19:00:03,Tue May 26 19:00:03 PDT 2020,,,,51,0% (0/0),0% (0/0),0% (0/0),cnndm6564,presumm_out_abs,"['1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087']","Maren Sanchez , 16 , was stabbed to death at Jonathan Law High School in Milford , Connecticut on April 25 , 2014 . A classmate , Christopher Plaskon , has been charged with murder as an adult . Sanchez's mother , Donna Cimarelli , said : ` If you knew Maren , she would have embraced an event like this ' .",Maren Sanchez was 16 year old.,Maren Sanchez stabbed to death.,Maren Sanchez was stabbed a year ago.,Maren Sanchez was stabbed on the day of Prom.,The life of Maren Sanchez was celebrated on Saturday.,The life of Maren Sanchez was celebrated by hundreds of people.,Someone doesn't thinks there's anything sad about the celebration.,Christopher Plaskon was a classmate of Maren Sanchez.,Christopher Plaskon has been charged with Sanchez's murder.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,p,p,{},,
6,30U1YOGZHEK1G14T1QSGJNVJCWCSDV,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:46 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:46 PDT 2020,,,3EICBYG649K1YQCJ52TSW0I0URHJC4,A1YGF0LJJGB30G,Submitted,2020-05-23 17:23:59,2020-05-23 18:14:50,Tue May 26 18:14:50 PDT 2020,,,,3051,0% (0/0),0% (0/0),0% (0/0),cnndm2292,presumm_out_abs,"['448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463']","Tottenham will subsidise Emmanuel Adebayor's # 100,000 - per - week wages . The Togolese striker is out of favour under Mauricio Pochettino at White Hart Lane . The 31 - year - old has made just nine league starts this season . Click here for all the latest Tottenham News .",Emmanuel Adebayor has contract with Tottenham.,Emmanuel Adebayor's contract runs out in 2016.,Emmanuel Adebayor is a striker.,Emmanuel Adebayor / the striker wants more than his current salary.,Emmanuel Adebayor / the stirker earns 5.2 million.,Emmanuel Adebayor / the striker wants more than his current salary before accepting a move out of White Hart Lane.,Emmanuel Adebayor / the striker is from Togolese.,Emmanuel Adebayor / the striker has made nine league starts.,Emmanuel Adebayor / the striker has made nine league starts this season.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,n,n,p,p,p,p,{},,
7,30U1YOGZHEK1G14T1QSGJNVJCWCSDV,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:46 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:46 PDT 2020,,,3QIYRE09Y85DUDT643W08BGQZE3N1U,A13GUTDMGGZZDL,Submitted,2020-05-23 18:14:42,2020-05-23 18:15:51,Tue May 26 18:15:51 PDT 2020,,,,69,0% (0/0),0% (0/0),0% (0/0),cnndm2292,presumm_out_abs,"['448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463']","Tottenham will subsidise Emmanuel Adebayor's # 100,000 - per - week wages . The Togolese striker is out of favour under Mauricio Pochettino at White Hart Lane . The 31 - year - old has made just nine league starts this season . Click here for all the latest Tottenham News .",Emmanuel Adebayor has contract with Tottenham.,Emmanuel Adebayor's contract runs out in 2016.,Emmanuel Adebayor is a striker.,Emmanuel Adebayor / the striker wants more than his current salary.,Emmanuel Adebayor / the stirker earns 5.2 million.,Emmanuel Adebayor / the striker wants more than his current salary before accepting a move out of White Hart Lane.,Emmanuel Adebayor / the striker is from Togolese.,Emmanuel Adebayor / the striker has made nine league starts.,Emmanuel Adebayor / the striker has made nine league starts this season.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,n,n,n,n,p,p,{},,
8,31GN6YMHMTG0P74KILX6BBK4JCIWS8,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:46 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:46 PDT 2020,,,323Q6SJS8N4CAW1384G8STNOECIFHJ,A12ATVBE1I4567,Submitted,2020-05-23 18:52:55,2020-05-23 19:10:58,Tue May 26 19:10:58 PDT 2020,,,,1083,0% (0/0),0% (0/0),0% (0/0),cnndm10563,presumm_out_abs,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering his version of the Easter Feast at his Black Milk Cafe in Manchester's Northern Quarter . The breakfast includes two types of cereal served in half an easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk . Mr Taylor says he has carried his fine - dining and knowledge of being a wine sommelier into black milk .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,p,n,{},,
11,31KSVEGZ48GOOS473WX1L1F8XAZWRK,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:16:45 PDT 2020,2,BatchId:4050535;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:16:45 PDT 2020,,,3NG53N1RL07V8YP4J3I7RA8TDZ28PN,A1YGF0LJJGB30G,Submitted,2020-05-23 17:23:09,2020-05-23 17:24:07,Tue May 26 17:24:07 PDT 2020,,,,58,0% (0/0),0% (0/0),0% (0/0),cnndm2065,presumm_out_abs,"['1408', '1409', '1410', '1411', '1412', '1413', '1414', '1415', '1416', '1417', '1418', '1419', '1420', '1421', '1422', '1423']","Abby Bishop , 26 , took in her two - day - old niece Zala in August 2013 . She juggled training with sleepless nights and adjust to her new life . Now Zala is 20 months old and she follows Bishop as she travels the world playing for professional teams .",Abby Bishop took in her niece,Niece is named Zala,Niece / Zala was two days old when Abby Bishop took her in,Abby Bishop took in her niece in August 2013,Niece / Zala is now 20 months old,Niece / Zala follows Bishop as she travels the world,Abby Bishop travels the world,Abby Bishop travels for professional basketball teams,Abby Bishop said taking in her niece / Zala was a big decision,Abby Bishop said that she wouldn't change anything,Niece / Zala will go with Abby Bishop when she starts playing in the U.S. WNBA,Abby Bishop will play for the U.S. WNBA in May,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
