,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3087LXLJ7Q4YDCYDJU4MXHSLTHAF07,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,32RIADZISXSR2PIUZHWO53XZYYNS4S,AOWLCXNXCSQAC,Submitted,2020-05-24 00:56:03,2020-05-24 01:01:22,Wed May 27 01:01:22 PDT 2020,,,,319,0% (0/0),0% (0/0),0% (0/0),cnndm9086,t5_out_base,"['624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639']",Liverpool face Aston Villa in the FA Cup semi-final on Sunday . Brendan Rodgers says that Manchester City are bigger than Liverpool . The Reds have been heavily linked with a £ 50million move for Raheem Sterling .,Manchester City have been linked with Raheem Sterling.,Manchester City have been linked with summer move for Raheem Sterling.,Raheem Sterling has two years left on his contract.,Raheem Sterling is stalling on a new deal.,Brendan Rodgers says a move to city would not be a step up for Sterling.,Brendan Rodgers indicated it will take Manchester City 20 years to eclipse Liverpool.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,p,p,n,n,n,n,{},,
1,3087LXLJ7Q4YDCYDJU4MXHSLTHAF07,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,3LKC68YZ3FRODZ9L26LYGQ6PL2IOWC,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:49:06,2020-05-24 00:55:01,Wed May 27 00:55:01 PDT 2020,,,,355,0% (0/0),0% (0/0),0% (0/0),cnndm9086,t5_out_base,"['624', '625', '626', '627', '628', '629', '630', '631', '632', '633', '634', '635', '636', '637', '638', '639']",Liverpool face Aston Villa in the FA Cup semi-final on Sunday . Brendan Rodgers says that Manchester City are bigger than Liverpool . The Reds have been heavily linked with a £ 50million move for Raheem Sterling .,Manchester City have been linked with Raheem Sterling.,Manchester City have been linked with summer move for Raheem Sterling.,Raheem Sterling has two years left on his contract.,Raheem Sterling is stalling on a new deal.,Brendan Rodgers says a move to city would not be a step up for Sterling.,Brendan Rodgers indicated it will take Manchester City 20 years to eclipse Liverpool.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
2,31MBOZ6PBSF47W3PHL04NVZ6Z2TCL2,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:53 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:53 PDT 2020,,,3OJSZ2ATDXKNFA22PJHNF47HBG057I,A2WVY1WO8EBV8V,Submitted,2020-05-24 00:01:53,2020-05-24 00:02:47,Wed May 27 00:02:47 PDT 2020,,,,54,0% (0/0),0% (0/0),0% (0/0),cnndm7547,t5_out_base,"['592', '593', '594', '595', '596', '597', '598', '599', '600', '601', '602', '603', '604', '605', '606', '607']",Floyd Mayweather takes on Manny Pacquiao in Las Vegas on May 2 . The bout has been billed as the ' Fight of the Century ' . But Joe Calzaghe says Mayweather will still be victorious . Click here for all the latest Mayweather vs Pacquiao News .,Floy Mayweather and Manny Pacquiao face off.,The face off will happen in Las Vegas.,The face off will happen on May 2.,Joe Calzaghe believes Mayweather's unbeaten record is a burden.,Mayweather has an unbeaten record.,Joe Calzaghe is a Welshman.,Joe Calzaghe thinks Mayweather will beat Manny Pacquiao.,Ricky Hatton gives prediciton to Jeff Powell.,The tickets of the face off go on sale.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,n,n,{},,
3,31MBOZ6PBSF47W3PHL04NVZ6Z2TCL2,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:53 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:53 PDT 2020,,,3ZAZR5XV066RY5HNNOWEKU6QDPFZCQ,A2H0VR477QHYO7,Submitted,2020-05-23 20:29:57,2020-05-23 20:31:52,Tue May 26 20:31:52 PDT 2020,,,,115,0% (0/0),0% (0/0),0% (0/0),cnndm7547,t5_out_base,"['592', '593', '594', '595', '596', '597', '598', '599', '600', '601', '602', '603', '604', '605', '606', '607']",Floyd Mayweather takes on Manny Pacquiao in Las Vegas on May 2 . The bout has been billed as the ' Fight of the Century ' . But Joe Calzaghe says Mayweather will still be victorious . Click here for all the latest Mayweather vs Pacquiao News .,Floy Mayweather and Manny Pacquiao face off.,The face off will happen in Las Vegas.,The face off will happen on May 2.,Joe Calzaghe believes Mayweather's unbeaten record is a burden.,Mayweather has an unbeaten record.,Joe Calzaghe is a Welshman.,Joe Calzaghe thinks Mayweather will beat Manny Pacquiao.,Ricky Hatton gives prediciton to Jeff Powell.,The tickets of the face off go on sale.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,n,n,{},,
5,31N9JPQXJT6LC4HQFQUKBE0BHPYHNI,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:53 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:53 PDT 2020,,,3KAKFY4PGZQHQFWUURXRRWZ6BZ1I3F,A314XJY8V1YL12,Submitted,2020-05-23 20:35:50,2020-05-23 20:39:09,Tue May 26 20:39:09 PDT 2020,,,,199,0% (0/0),0% (0/0),0% (0/0),cnndm7174,t5_out_base,"['496', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511']","Row started in 1980 when neighbour's vegetable patch withered and died . Audrey Alexander , 54 , bought house and asked neighbour to Trim Hedge . She claims hedge knocked £ 20,000 off the value of her house in Scotland . Stirling Council has finally ruled hedge can stay , but has to be cut to 20ft .",Audrey Alexander wanted something from her neighbours.,Audrey Alexander wanted her neighbours to chop down their hedge.,The hedge was huge.,The hedge was 40ft,The hedge was a leylandii.,The hedge was blocking sunlight.,The hedge was blocking sunlight from reaching Audrey Alexander's home.,There was a feud in 1980.,The hedge blocked light from reaching a vegetable patch.,Council rules that hedge can stay.,Council rules that hedge must be cut back to 20 ft.,BLANK,BLANK,BLANK,BLANK,BLANK,p,p,n,n,n,n,n,p,p,n,n,n,n,n,p,n,{},,
7,31S7M7DAHKELTD5037VUC5ZANOTTL2,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:54 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:54 PDT 2020,,,3R2UR8A0IF432ZEBCBHKI9KWU32OXH,A2PJBSDDN22XIX,Submitted,2020-05-23 20:50:34,2020-05-23 20:51:44,Tue May 26 20:51:44 PDT 2020,,,,70,0% (0/0),0% (0/0),0% (0/0),cnndm5334,t5_out_base,"['1472', '1473', '1474', '1475', '1476', '1477', '1478', '1479', '1480', '1481', '1482', '1483', '1484', '1485', '1486', '1487']","Chloe Owens , 27 , from Swanley , Kent , came up with the idea for Bump 2 breast when she was pregnant with daughter Lola , now three months old . The Tech - savvy mum even struggled to remember which boob she had used last when breastfeeding so included a breast - tracking feature . The app , which is available on all mobile platforms , has already been downloaded 20,000 times and is getting rave reviews .",Chloe Owens is 27.,Chloe Owens is from Swanley.,Chloe Owens designed a new app.,The new app is Bump 2 breast .,Chloe Owens came up with the idea when pregnant.,Chloe Owens was pregnant with daughter.,Chloe Owens' daughter is Lola.,Chloe Owens' daughter is now three months.,Chloe Owens says her and husband felt like 'Rabbits in headlights'.,Chloe Owens says her and husband felt a certain way at first.,Chloe Owens' husband is David.,Chloe Owens struggled to remember which boob to use.,Chloe Owens' reference to boobs was for breastfeeding.,BLANK,BLANK,BLANK,n,n,p,n,n,n,n,p,p,p,p,p,p,p,p,n,{},,
8,32ZCLEW0C38H6VOTJ5AXRGLLUW3JPL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,31IBVUNM9XNHSXWNDTXC7UEXMR2VFY,A1A3J5IXCM8A7X,Submitted,2020-05-23 20:39:11,2020-05-23 20:40:08,Tue May 26 20:40:08 PDT 2020,,,,57,0% (0/0),0% (0/0),0% (0/0),cnndm6784,t5_out_base,"['1232', '1233', '1234', '1235', '1236', '1237', '1238', '1239', '1240', '1241', '1242', '1243', '1244', '1245', '1246', '1247']","HBO has launched its HBO Now Channel on the Apple TV set - top box , iphone and ipad . Service is available in the US for $ 14.99 ( £ 9.90 ) a month . Includes all past , present and future HBO programming . Comes ahead of the series premiere of HBO hit show Game of Thrones . Announcement comes weeks after Apple cut the price of its Apple TV device from $ 99 ( £ 65 ) to $ 69 ( £ 45 ) .",HBO is a US based network.,HBO is the network behind Game of Thrones,HBO is the network behind the Sopranos.,HBO service is available on Apple TV.,HBO service is available on IOS,HBO service is available exclusively for three months.,Apple has also cut the price of Apple TV.,The Apple TV price was 99.,The Apple TV price now is 65 to 69.,HBO service is available exclusively on Apple TV and IOS.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,n,p,n,n,p,p,p,{},,
10,334ZEL5JYA3SKYVIRZ6WUH7IGAKOSP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,3F6HPJW4JIOA6SKGF8N19D3MKWXW2N,A12ATVBE1I4567,Submitted,2020-05-23 20:19:04,2020-05-23 20:52:00,Tue May 26 20:52:00 PDT 2020,,,,1976,0% (0/0),0% (0/0),0% (0/0),cnndm5075,t5_out_base,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","Britt McHenry , 28 , was suspended for a week after the April 6 video emerged showing her attacking tow clerk Gina Michelle for her looks and social status . The single mother - of - three was towed from a Chinese restaurant in Virginia . McHenry resorted to insulting the employee's looks , intelligence , and social status . The network has reinstated her to her role with a spot on sportscenter this weekend .",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,n,n,n,n,p,n,n,p,p,n,n,p,p,p,n,n,{},,
11,334ZEL5JYA3SKYVIRZ6WUH7IGAKOSP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,3WJ1OXY92F4OLUJ2UK0A1FJYEEV8A2,A1XRIEYLA7ZJ3B,Submitted,2020-05-23 21:43:01,2020-05-23 21:49:20,Tue May 26 21:49:20 PDT 2020,,,,379,0% (0/0),0% (0/0),0% (0/0),cnndm5075,t5_out_base,"['208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223']","Britt McHenry , 28 , was suspended for a week after the April 6 video emerged showing her attacking tow clerk Gina Michelle for her looks and social status . The single mother - of - three was towed from a Chinese restaurant in Virginia . McHenry resorted to insulting the employee's looks , intelligence , and social status . The network has reinstated her to her role with a spot on sportscenter this weekend .",McHenry was 28 years old.,McHenry berated Gina Michelle.,Gina Michelle was a single mother.,McHenry berated GIna Michelle for towing her car.,McHenry insulted Gina Michelle's looks.,McHenry insulted Gina Michelle's social status.,McHenry insulted Gina Michelle's in a footage.,The footage has gone viral.,ESPN suspended McHenry.,McHenry was a sports reporter.,ESPN suspended McHenry for a week.,McHenry is being investigated.,There were thousands of calls for McHenry to be fired.,McHenry returned this week.,BLANK,BLANK,p,n,n,n,p,n,n,p,p,n,p,p,p,p,p,n,{},,
12,338431Z1GP3GJJV5CA6R472MU81OR1,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:55:52 PDT 2020,2,BatchId:4050583;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:55:52 PDT 2020,,,31LM9EDVOQGKPU9AUS26CBCCTVIJN9,A101U3FTZYY87V,Submitted,2020-05-23 20:50:08,2020-05-23 20:51:35,Tue May 26 20:51:35 PDT 2020,,,,87,100% (2/2),100% (2/2),100% (2/2),cnndm10563,t5_out_base,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering his version of the Easter Feast at his Black Milk Cafe in Manchester's Northern Quarter . Breakfast includes two cereals , brownies , marshmallows and mini eggs , topped off with three flavoured milks .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,n,n,n,{},,
