,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,33QQ60S6BW6NWUV3EJZLJHTO34PU0L,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,34S9DKFK78DAKJ49GS39MYR060ANYS,A2BCNRHZU9V7C4,Submitted,2020-05-24 00:17:12,2020-05-24 00:32:17,Wed May 27 00:32:17 PDT 2020,,,,905,0% (0/0),0% (0/0),0% (0/0),cnndm5244,two_stage_rl_out,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",Ben Flower does not believe he deserved the standing ovation which greeted his return from suspension on Thursday night . The 27 - year - old punched St Helens ' Lance Hohaia in the opening moments of last season ' s Grand Final against Warrington Warriors . The Wales forward came on as a substitute in the 23rd minute of Thursday ' s 30 - 20 victory against St Helens . Coach Shaun Wane had said he wanted to see flower come back an even more aggressive player .,Ben Flower was banned for 6 months.,Ben Flower returned from ban.,Ben Flower returned on Thursday night.,Ben Flower is a forward.,Ben Flower plays for Wales.,Ben Flower had punched Lance Hohaia.,Lance Hohaia plays for St Helens,Ben Flower had punched in last season's grand final.,Ben Flower had punched in the opening moments of a match.,Ben Flower is a 27 year old.,Ben Flower received a brilliant reception.,Wigan played against Warrington.,Wigan won 30 - 20.,BLANK,BLANK,BLANK,p,p,p,p,n,n,n,n,p,p,p,n,p,p,p,p,{},,
2,3WUVMVA7PFR0J6NVC8VMPFKGE8GZA6,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3KB8R4ZV1JV8XJUCJWCUO3K2KFWGBO,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:16:55,2020-05-23 22:17:40,Tue May 26 22:17:40 PDT 2020,,,,45,0% (0/0),0% (0/0),0% (0/0),cnndm6731,two_stage_rl_out,"['1520', '1521', '1522', '1523', '1524', '1525', '1526', '1527', '1528', '1529', '1530', '1531', '1532', '1533', '1534', '1535']","Charles Terreni Jr was four times over the legal alcohol limit when he died . He was found at the Pi Kappa Alpha House in Columbia , South Carolina , on March 18 , the morning after an alleged ' kegger ' at the house . Neighbors said the House threw a party the night before , and noted the leftover keg . USC suspended the fraternity in the wake of the death .",Charles Terreni was 18.,Charles Terreni was found dead.,Charles Terreni was found at a frat house.,The frat house is in Columbia.,Charles Terreni was a USC freshman.,Charles Terreni was a member of the Pi Kappa Alpha House .,Coroner identified cause of death.,Toxicology tests showed the blood alcohol.,BLANK,The blood alcohol was .375 .,Neighbors said there was a large party.,A beer keg was still visible outside.,Cause of death identified was alcohol poisoning.,Charles Terreni was found on March 18.,BLANK,BLANK,n,p,p,n,p,n,n,n,p,p,p,n,n,n,n,n,{},,
3,3WUVMVA7PFR0J6NVC8VMPFKGE8GZA6,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3KIBXJ1WDAIXIZF4DS2VSFCUYUQKOR,A12ATVBE1I4567,Submitted,2020-05-23 21:12:25,2020-05-23 21:39:02,Tue May 26 21:39:02 PDT 2020,,,,1597,0% (0/0),0% (0/0),0% (0/0),cnndm6731,two_stage_rl_out,"['1520', '1521', '1522', '1523', '1524', '1525', '1526', '1527', '1528', '1529', '1530', '1531', '1532', '1533', '1534', '1535']","Charles Terreni Jr was four times over the legal alcohol limit when he died . He was found at the Pi Kappa Alpha House in Columbia , South Carolina , on March 18 , the morning after an alleged ' kegger ' at the house . Neighbors said the House threw a party the night before , and noted the leftover keg . USC suspended the fraternity in the wake of the death .",Charles Terreni was 18.,Charles Terreni was found dead.,Charles Terreni was found at a frat house.,The frat house is in Columbia.,Charles Terreni was a USC freshman.,Charles Terreni was a member of the Pi Kappa Alpha House .,Coroner identified cause of death.,Toxicology tests showed the blood alcohol.,BLANK,The blood alcohol was .375 .,Neighbors said there was a large party.,A beer keg was still visible outside.,Cause of death identified was alcohol poisoning.,Charles Terreni was found on March 18.,BLANK,BLANK,n,n,p,n,p,n,n,n,p,p,p,n,n,n,p,n,{},,
5,3MD8CKRQ03B2I848WXEMWBL0VERRJL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3X73LLYYQ62OYOEK6SZL0YWXG4JHN9,A28TPZXB90CE1D,Submitted,2020-05-23 21:39:35,2020-05-23 21:40:12,Tue May 26 21:40:12 PDT 2020,,,,37,0% (0/0),0% (0/0),0% (0/0),cnndm7535,two_stage_rl_out,"['512', '513', '514', '515', '516', '517', '518', '519', '520', '521', '522', '523', '524', '525', '526', '527']",Saudi forces launched air strikes on Yemen a month ago to stop advances . Prince Alwaleed Bin Talal has promised to give each pilot a free Bentley . He apparently made the pledge on social media but the post has since been deleted .,Air strikes were launched by Saudi forces.,Air strikes were launched a month ago.,Air strikes were launched against rebels.,Saudi forces have been beating back Shite Houthi.,Shite Houthis are rebels.,Shite Houthis are in Yemen.,Prince Alwaleed Bin Talal pledged Bentleys.,Prince Alwaleed Bin Talal pledged for pilots involved in bombings.,Prince Alwaleed Bin Talal / He pleged on Wednesday.,Prince Alwaleed Bin Talal / He pledged after bombing raids resumed.,Bombing raids resumed despite official announcement that they would be halted.,The official announcement came last night.,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,p,p,n,{},,
6,3XUY87HIWT21M0X1UMVXQ4J7TLNMMW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3URFVVM16A6NKZYN9FHEE0SWKQ3UZE,A2BCNRHZU9V7C4,Submitted,2020-05-23 23:31:52,2020-05-23 23:42:37,Tue May 26 23:42:37 PDT 2020,,,,645,0% (0/0),0% (0/0),0% (0/0),cnndm10368,two_stage_rl_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory mcilroy is looking to complete a career Grand Slam this week . The 25 - year - old heads to the Augusta National for the first time in his career . Only five men have won all four of golf ' s majors in the Masters era .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,n,n,n,n,n,n,{},,
7,3XUY87HIWT21M0X1UMVXQ4J7TLNMMW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3WR9XG3T68Z5JRY2BEYDAC13BKW473,A12ATVBE1I4567,Submitted,2020-05-23 22:16:50,2020-05-23 22:41:11,Tue May 26 22:41:11 PDT 2020,,,,1461,0% (0/0),0% (0/0),0% (0/0),cnndm10368,two_stage_rl_out,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory mcilroy is looking to complete a career Grand Slam this week . The 25 - year - old heads to the Augusta National for the first time in his career . Only five men have won all four of golf ' s majors in the Masters era .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
8,37ZQELHER4M74II16NAX3J87YBXMNW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,32KTQ2V7RI3P10B1WFWTA299S009M8,A2H0VR477QHYO7,Submitted,2020-05-23 21:19:27,2020-05-23 21:20:37,Tue May 26 21:20:37 PDT 2020,,,,70,0% (0/0),0% (0/0),0% (0/0),cnndm7547,two_stage_rl_out,"['592', '593', '594', '595', '596', '597', '598', '599', '600', '601', '602', '603', '604', '605', '606', '607']",Floyd Mayweather faces Manny Pacquiao in Las Vegas on May 2 . The fight has been billed as the fight of the century by Joe Calzaghe . Tickets for the fight finally go on sale on Thursday night .,Floy Mayweather and Manny Pacquiao face off.,The face off will happen in Las Vegas.,The face off will happen on May 2.,Joe Calzaghe believes Mayweather's unbeaten record is a burden.,Mayweather has an unbeaten record.,Joe Calzaghe is a Welshman.,Joe Calzaghe thinks Mayweather will beat Manny Pacquiao.,Ricky Hatton gives prediciton to Jeff Powell.,The tickets of the face off go on sale.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,p,{},,
10,3DWNFENNF7JVH22ALLI9OIAQ3084JG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,351SEKWQS5514QOI8V1VWYSZJMNDM3,AHKYVHP6591H8,Submitted,2020-05-23 22:49:17,2020-05-23 23:05:54,Tue May 26 23:05:54 PDT 2020,,,,997,100% (31/31),100% (31/31),100% (31/31),cnndm5257,two_stage_rl_out,"['864', '865', '866', '867', '868', '869', '870', '871', '872', '873', '874', '875', '876', '877', '878', '879']","Chris Christie appeared on The Tonight Show and called out Jimmy Fallon for his weight jokes about the New Jersey governor . Fallon pulled out two spoons thinking the men could share the ice cream , at which point Christie took the treat for himself . Christie has not yet announced if he plans to run for president in the upcoming election .",Chris Christie appeared on The Tonight Show.,Chris Christie called out Jimmy Fallon for his weight jokes about the governor.,Chris Christie called out Jimmy Fallon.,Jimmy Fallon brought out ice cream.,The ice cream was for the two to share.,Chris Christie hoarded the ice cream.,The ice cream was a pint of ice cream.,The ice cream was brought out later in the program.,Chris Christie was asked if he would run for president.,Chris Christie said ; ' I ’ve got a day job which keeps me busy ' .,Chris Christie said ; ' I ’ve got a day job which keeps me busy '  when asked if he would run for president.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,n,n,{},,
11,3DWNFENNF7JVH22ALLI9OIAQ3084JG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,3GM6G9ZBKSL8LFKFUL1A12ALM8ETM5,A2BCNRHZU9V7C4,Submitted,2020-05-23 23:36:26,2020-05-23 23:47:51,Tue May 26 23:47:51 PDT 2020,,,,685,0% (0/0),0% (0/0),0% (0/0),cnndm5257,two_stage_rl_out,"['864', '865', '866', '867', '868', '869', '870', '871', '872', '873', '874', '875', '876', '877', '878', '879']","Chris Christie appeared on The Tonight Show and called out Jimmy Fallon for his weight jokes about the New Jersey governor . Fallon pulled out two spoons thinking the men could share the ice cream , at which point Christie took the treat for himself . Christie has not yet announced if he plans to run for president in the upcoming election .",Chris Christie appeared on The Tonight Show.,Chris Christie called out Jimmy Fallon for his weight jokes about the governor.,Chris Christie called out Jimmy Fallon.,Jimmy Fallon brought out ice cream.,The ice cream was for the two to share.,Chris Christie hoarded the ice cream.,The ice cream was a pint of ice cream.,The ice cream was brought out later in the program.,Chris Christie was asked if he would run for president.,Chris Christie said ; ' I ’ve got a day job which keeps me busy ' .,Chris Christie said ; ' I ’ve got a day job which keeps me busy '  when asked if he would run for president.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,n,p,n,{},,
12,3R16PJFTT7FQSM8S36ILPXA3IP84KF,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:11 PDT 2020,2,BatchId:4050585;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:11 PDT 2020,,,374TNBHA8GJVNGH1WKVQQSM5BBRQYC,A1A3J5IXCM8A7X,Submitted,2020-05-23 23:03:25,2020-05-23 23:05:03,Tue May 26 23:05:03 PDT 2020,,,,98,0% (0/0),0% (0/0),0% (0/0),cnndm8054,two_stage_rl_out,"['64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79']","Just 28 of 700 , 000 babies born in the UK in 2013 were given the name . That compares to 235 Garys being born in 1996 , when the name was the 147th most popular in Britain . In 2013 , it didn ' t even make the Top 1 , 000 .",Gary was a British name.,Gary was the 147th most popular British name in 1996.,Gary was the 1001st most popular British name in 2013.,Gary reached height of its popularity in 1964.,Gary was the 16th most popular British name in 1964 (or at the height of its popularity).,Dexter is one of the top 100 most popular British names.,Jenson is now one of the top 100 most popular British names.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,{},,
