,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,38DCH97KILQ267P8JIPMRLBVZSOJQB,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:27 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:27 PDT 2020,,,3OSWBBLG1JLCY2NMM2347F8XQPRXDP,AFQKLIYNCVZTL,Submitted,2020-05-23 19:51:52,2020-05-23 19:52:36,Tue May 26 19:52:36 PDT 2020,,,,44,0% (0/0),0% (0/0),0% (0/0),cnndm9605,bottom_up_out,"['672', '673', '674', '675', '676', '677', '678', '679', '680', '681', '682', '683', '684', '685', '686', '687']","The loophole came to light after trading standards officers raided restaurant the Royal China Club , on Baker Street in Central London . Charity bite - back boasted that it sold the soup and another dish made with ground shark teeth . More than 70 million sharks are killed each year for their fins .",Chinese eateries could be using illegal meat.,Up to one in five Chinese eateries could be using illegal meat .,Chinese eateries could be selling soup using illegal meat .,Charity says how illegal meat is disguised / concealed.,The illegal meat is often disguised on menu.,The illegal meat is often only offered if requested.,People can bring meat into UK.,20 kg of meat can be brought into UK.,Meat can be brought for personal consumption.,Meat can be brought due to a loophole.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
1,38DCH97KILQ267P8JIPMRLBVZSOJQB,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:27 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:27 PDT 2020,,,3Y4W8Q93L48KUDIRMN2MJUBCAEGDVZ,A3TWYQENN82FJI,Submitted,2020-05-23 19:17:40,2020-05-23 19:18:59,Tue May 26 19:18:59 PDT 2020,,,,79,0% (0/0),0% (0/0),0% (0/0),cnndm9605,bottom_up_out,"['672', '673', '674', '675', '676', '677', '678', '679', '680', '681', '682', '683', '684', '685', '686', '687']","The loophole came to light after trading standards officers raided restaurant the Royal China Club , on Baker Street in Central London . Charity bite - back boasted that it sold the soup and another dish made with ground shark teeth . More than 70 million sharks are killed each year for their fins .",Chinese eateries could be using illegal meat.,Up to one in five Chinese eateries could be using illegal meat .,Chinese eateries could be selling soup using illegal meat .,Charity says how illegal meat is disguised / concealed.,The illegal meat is often disguised on menu.,The illegal meat is often only offered if requested.,People can bring meat into UK.,20 kg of meat can be brought into UK.,Meat can be brought for personal consumption.,Meat can be brought due to a loophole.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,n,n,n,n,p,n,n,{},,
2,3O0M2G5VDAQ6BQP1Z9RWZOWN7VU94O,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3GFK2QRXXE525P33XRPZ7K6Y4735WE,AHKYVHP6591H8,Submitted,2020-05-23 22:49:10,2020-05-23 22:59:57,Tue May 26 22:59:57 PDT 2020,,,,647,100% (31/31),100% (31/31),100% (31/31),cnndm8306,bottom_up_out,"['896', '897', '898', '899', '900', '901', '902', '903', '904', '905', '906', '907', '908', '909', '910', '911']",One of the victims suffered critical head trauma as the stage fell half - way through a song during a sold - out showing of American Pie at Westfield High School . More than 12 people were injured on Thursday night after a stage collapsed during an Indiana Public High School's performance of the musical American Pie . The calamity occurred at the worst time - just as dozens were on stage for the finale .,There was a performance at an Indiana public school.,The performance was of American Pie.,The performance ended in tragedy.,The performance was on Wednesday.,A riser buckled at the performance.,The riser buckled as many danced on-stage.,More than a dozen people were injured.,The school is Westfield High.,One student was taken to a hospital in critical condition.,Students said there had been no issues previously.,Students said they previously practiced the song on the stage with the same number of people .,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,p,n,{},,
3,3O0M2G5VDAQ6BQP1Z9RWZOWN7VU94O,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3TPZPLC3M50971JY7MNB0T0IXDEP3G,A7NZ814Q5MX2R,Submitted,2020-05-23 17:48:58,2020-05-23 18:22:42,Tue May 26 18:22:42 PDT 2020,,,,2024,0% (0/0),0% (0/0),0% (0/0),cnndm8306,bottom_up_out,"['896', '897', '898', '899', '900', '901', '902', '903', '904', '905', '906', '907', '908', '909', '910', '911']",One of the victims suffered critical head trauma as the stage fell half - way through a song during a sold - out showing of American Pie at Westfield High School . More than 12 people were injured on Thursday night after a stage collapsed during an Indiana Public High School's performance of the musical American Pie . The calamity occurred at the worst time - just as dozens were on stage for the finale .,There was a performance at an Indiana public school.,The performance was of American Pie.,The performance ended in tragedy.,The performance was on Wednesday.,A riser buckled at the performance.,The riser buckled as many danced on-stage.,More than a dozen people were injured.,The school is Westfield High.,One student was taken to a hospital in critical condition.,Students said there had been no issues previously.,Students said they previously practiced the song on the stage with the same number of people .,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,p,p,p,{},,
4,302OLP89E3VNBDCLKUBEEHJV5QTCAJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,30IQTZXKAPUIZIMSAQF9S8OEW06X0K,A12ATVBE1I4567,Submitted,2020-05-23 18:09:06,2020-05-23 19:04:06,Tue May 26 19:04:06 PDT 2020,,,,3300,0% (0/0),0% (0/0),0% (0/0),cnndm10563,bottom_up_out,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering his version the Easter Feast at his Black Milk Cafe in Manchester's Northern Quarter . The breakfast includes two types of cereal served in half an easter egg , with brownies topped off with three different types of flavoured milk . The meal is so sweet it contains the equivalent of 388g of sugar or 97 teaspoons .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,p,p,n,n,n,n,,,
5,302OLP89E3VNBDCLKUBEEHJV5QTCAJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3IAS3U3I0K4IIPM5KHR5MZQ1AVVB22,A314XJY8V1YL12,Submitted,2020-05-23 17:22:58,2020-05-23 17:24:53,Tue May 26 17:24:53 PDT 2020,,,,115,0% (0/0),0% (0/0),0% (0/0),cnndm10563,bottom_up_out,"['1504', '1505', '1506', '1507', '1508', '1509', '1510', '1511', '1512', '1513', '1514', '1515', '1516', '1517', '1518', '1519']","Olly Taylor , 27 , is offering his version the Easter Feast at his Black Milk Cafe in Manchester's Northern Quarter . The breakfast includes two types of cereal served in half an easter egg , with brownies topped off with three different types of flavoured milk . The meal is so sweet it contains the equivalent of 388g of sugar or 97 teaspoons .",There are two types of cereal in an Easter egg.,An Easter egg is with marshmallows.,An Easter egg is with Brownies.,An Easter egg is served.,Black Milk Cafe is in Manchester's Northern Quarter.,"'Easter is less about what is used to mean , ' owner/Olly Taylor said .",BLANK,An Easter egg is served at Black Milk Cafe.,Olly Taylor is cafe owner.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,p,p,p,n,n,p,p,{},,
6,3RIHDBQ1OIMFUMWQ3PFKYZBBCZNMHM,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3HFNH7HEMM2V1PW12E9KJSF16EGQGR,A12ATVBE1I4567,Submitted,2020-05-23 19:14:25,2020-05-23 19:34:06,Tue May 26 19:34:06 PDT 2020,,,,1181,0% (0/0),0% (0/0),0% (0/0),cnndm1153,bottom_up_out,"['768', '769', '770', '771', '772', '773', '774', '775', '776', '777', '778', '779', '780', '781', '782', '783']","The intricately - carved ornate bed was left in the car park of the former Redland House Hotel in Hough Green , Chester , by builders who were renovating the property . It was snapped up for # 2,200 in 2010 by Ian Coulson . DNA testing on the bed once belonged to King Henry VII .",A bed was dumped.,A bed was left in a hotel car park.,The bed was a four - poster bed.,"The bed sold at auction for 2,200.",Owner suspected it had historic value.,Experts have been investigating.,Historian now claims the bed belonged to Henry VII .,"DNA from the timber proves who the bed belonged to, it is claimed.",The bed is ornate.,The bed is now on display.,The bed was made for Henry VII / King.,The bed was also made for Henry VII's wife / King's wife / Elizabeth of York .,Elizabeth of York was wife of Henry VII / King.,The bed sold at an auction.,BLANK,BLANK,n,n,n,n,n,n,n,n,p,n,p,n,n,p,n,n,{},,
8,3FVBZG9CMN2IR8PJEKSM024Y9WMH06,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,35H6S234SFO4BAOX69CV9Q7LG4I56J,A12ATVBE1I4567,Submitted,2020-05-23 18:04:05,2020-05-23 18:53:15,Tue May 26 18:53:15 PDT 2020,,,,2950,0% (0/0),0% (0/0),0% (0/0),cnndm8997,bottom_up_out,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie mccrorie has been crowned the winner of The Voice UK 2015 . His mentor Ricky Wilson is his fellow celebrity judges Rita Ora , Tom Jones and will.i.am , and most of all bosses at the BBC . Leanne Mitchell has been dropped by her record label .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,n,n,n,n,{},,
9,3FVBZG9CMN2IR8PJEKSM024Y9WMH06,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3GU1KF0O4NPEAWNBMF2HICYUL5MPB2,A110SC5K5Y3IHS,Submitted,2020-05-23 17:19:02,2020-05-23 17:36:55,Tue May 26 17:36:55 PDT 2020,,,,1073,0% (0/0),0% (0/0),0% (0/0),cnndm8997,bottom_up_out,"['1424', '1425', '1426', '1427', '1428', '1429', '1430', '1431', '1432', '1433', '1434', '1435', '1436', '1437', '1438', '1439']","Stevie mccrorie has been crowned the winner of The Voice UK 2015 . His mentor Ricky Wilson is his fellow celebrity judges Rita Ora , Tom Jones and will.i.am , and most of all bosses at the BBC . Leanne Mitchell has been dropped by her record label .",Leanne Mitchell has been dropped by her label,Leanne Mitchell sings at a holiday camp,Andrea Begley is yet to become a household name,Jermain Jackman is yet to become a household name,Stevie won in 2015,Will Stevie become a chart success?,Will Stevie become another voice flop?,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,n,n,n,n,{},,
11,3VIVIU06GO0FQH7A97X5YBCQCC2MIF,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 17:13:28 PDT 2020,2,BatchId:4050531;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 17:13:28 PDT 2020,,,3DYGAII7PQW1E2P05XZ7D1TT75YQPQ,AYIFHDQSXQJ6B,Submitted,2020-05-23 18:32:13,2020-05-23 19:21:23,Tue May 26 19:21:23 PDT 2020,,,,2950,0% (0/0),0% (0/0),0% (0/0),cnndm5244,bottom_up_out,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",Ben Flower punched St Helens ' Lance Hohaia in last season's Grand Final . The 27 - year - old made his first appearance since Thursday's match . Coach Shaun Wane had said he wanted to see him come back .,Ben Flower was banned for 6 months.,Ben Flower returned from ban.,Ben Flower returned on Thursday night.,Ben Flower is a forward.,Ben Flower plays for Wales.,Ben Flower had punched Lance Hohaia.,Lance Hohaia plays for St Helens,Ben Flower had punched in last season's grand final.,Ben Flower had punched in the opening moments of a match.,Ben Flower is a 27 year old.,Ben Flower received a brilliant reception.,Wigan played against Warrington.,Wigan won 30 - 20.,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,n,n,n,n,p,n,p,n,{},,
