,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,30U1YOGZHEK1G14T1QSGJNVJCWDSDW,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:39 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:39 PDT 2020,,,3H8DHMCCWEZ6E2OFNJOFHL0VUH3KDG,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:55:43,2020-05-24 00:58:16,Wed May 27 00:58:16 PDT 2020,,,,153,0% (0/0),0% (0/0),0% (0/0),cnndm8001,unilm_out_v2,"['560', '561', '562', '563', '564', '565', '566', '567', '568', '569', '570', '571', '572', '573', '574', '575']",Winchester Council said its annual clean - up had been hit by New Health and Safety Executive rules designed to protect litter - pickers from traffic . But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation .,Winchester Council is in Hampshire,Winchester Council claimed annual clean - up,Winchester Council was hit by new rules.,Health and Safety Executive denied tightening rules.,Health and Safety Executive said that counciles were over-interpreting legislation.,Sir Andrew Motion is a poet laureate.,Sir Andrew Motion accused Town Hall bosses.,Sir Andrew Motion accused Highways Agency.,The accusation was of ruining the countryside.,The accusation was of failing to remove rubbish.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,{},,
3,31ANT7FQOCQHMFBKBQYYHX0PQ4Z5HH,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:39 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:39 PDT 2020,,,3TVSS0C0E6O4QRETYN7XA0CCKA0WT7,A1T0S48O0CMXBC,Submitted,2020-05-24 01:00:52,2020-05-24 01:26:58,Wed May 27 01:26:58 PDT 2020,,,,1566,100% (1/1),100% (1/1),100% (1/1),cnndm9781,unilm_out_v2,"['368', '369', '370', '371', '372', '373', '374', '375', '376', '377', '378', '379', '380', '381', '382', '383']",West Brom goalkeeper Boaz Myhill was sent off for a second yellow card in the second half . Charlie Austin headed QPR's second goal of the game on the 35th minute . Eduardo Vargas fired QPR into the lead with a 25 - yard strike on the hour mark . Bobby Zamora completed the rout with an astounding lob from the edge of the area .,Eduardo Vargas put QPR ahead.,Eduardo Vargas had a spectacular strike.,The strike was from 25 yards.,The strike was after 15 minutes.,Charlie Austin doubled the lead.,Charlie Austin scored with a header.,Charlie Austin scored 20 minutes later.,Bobby Zamora made it three.,Victor Anichebe pulled one back for West Brom.,Youssouf Mulumbu was sent off.,Joey Barton scored.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,n,p,n,{},,
4,31N9JPQXJT6LC4HQFQUKBE0BHPYNHO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:39 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:39 PDT 2020,,,31Z0PCVWUP3P0CDSQFZLIKDVRJL7TA,A3P7QP6K56ED2Z,Submitted,2020-05-23 23:52:52,2020-05-24 00:07:57,Wed May 27 00:07:57 PDT 2020,,,,905,0% (0/0),0% (0/0),0% (0/0),cnndm4725,unilm_out_v2,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']",Rory mcilroy and Jamie Dornan were taking part in a game of circular soccer . The World No 1 golfer defeated the film star 2 - 1 to take the Crown . Circular Soccer is a new football game based around a three sided goal . The 25 - year - old is an avid Manchester United fan .,Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
5,31N9JPQXJT6LC4HQFQUKBE0BHPYNHO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:39 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:39 PDT 2020,,,3R5F3LQFV78S7UEQDT55FU0724GZO7,AOWLCXNXCSQAC,Submitted,2020-05-23 23:47:41,2020-05-23 23:53:41,Tue May 26 23:53:41 PDT 2020,,,,360,0% (0/0),0% (0/0),0% (0/0),cnndm4725,unilm_out_v2,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']",Rory mcilroy and Jamie Dornan were taking part in a game of circular soccer . The World No 1 golfer defeated the film star 2 - 1 to take the Crown . Circular Soccer is a new football game based around a three sided goal . The 25 - year - old is an avid Manchester United fan .,Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,p,n,{},,
6,32LAQ1JNUDDOC3SUCLNV3SVT0FMUTX,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:36 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:36 PDT 2020,,,354P56DE9PROLC0D1FUV8FH9P0GS7F,A3PYB8Z6FFWSOV,Submitted,2020-05-24 01:48:47,2020-05-24 02:09:29,Wed May 27 02:09:29 PDT 2020,,,,1242,0% (0/0),0% (0/0),0% (0/0),cnndm10325,unilm_out_v2,"['1200', '1201', '1202', '1203', '1204', '1205', '1206', '1207', '1208', '1209', '1210', '1211', '1212', '1213', '1214', '1215']",Residents claim to have heard ` drilling ' noises on the evening of Good Friday . Thought at the time that this was simply a continuation of road works . Scotland Yard admitted last week that an alarm went off at the scene after midnight on Good Friday . But it was graded as ` no police response was deemed to be required ' . Residents on Greville Street say they had suspicious power outages a full week before the heist .,There were power cuts the weekend before the raid,Locals say power cuts could be linked to heist.,Locals tell of suspicious ` drilling ' noises.,Locals tell of noises on evening of Good Friday.,Group was seen returning to scene.,Group was seen on Saturday.,The day after initial break - in was Saturday.,Police admit they didn't respond after alarm went off.,The alarm went off early on Friday.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,p,p,n,n,n,p,p,{},,
9,32XN26MTY37KD489557KSUX5QDWL0I,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:38 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:38 PDT 2020,,,3SB4CE2TJ0JE0VKA2SC2HE0R5NIAXQ,A3P7QP6K56ED2Z,Submitted,2020-05-24 00:23:33,2020-05-24 00:33:16,Wed May 27 00:33:16 PDT 2020,,,,583,0% (0/0),0% (0/0),0% (0/0),cnndm5244,unilm_out_v2,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",Ben Flower did not believe he deserved the standing ovation which greeted his return from suspension on Thursday night . The Wales forward made his first appearance since he punched St Helens ` Lance Hohaia in last season's Grand Final . The 27 - year - old came on as a substitute in the 23rd minute of Thursday's match .,Ben Flower was banned for 6 months.,Ben Flower returned from ban.,Ben Flower returned on Thursday night.,Ben Flower is a forward.,Ben Flower plays for Wales.,Ben Flower had punched Lance Hohaia.,Lance Hohaia plays for St Helens,Ben Flower had punched in last season's grand final.,Ben Flower had punched in the opening moments of a match.,Ben Flower is a 27 year old.,Ben Flower received a brilliant reception.,Wigan played against Warrington.,Wigan won 30 - 20.,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,n,n,n,{},,
10,337F8MIIN31OFW1OZD836DVU4R2045,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:36 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:36 PDT 2020,,,30ZX6P7VFDJO08KH894MKN9EI162JI,A2BCNRHZU9V7C4,Submitted,2020-05-23 23:20:23,2020-05-23 23:28:58,Tue May 26 23:28:58 PDT 2020,,,,515,0% (0/0),0% (0/0),0% (0/0),cnndm8334,unilm_out_v2,"['224', '225', '226', '227', '228', '229', '230', '231', '232', '233', '234', '235', '236', '237', '238', '239']","Didier Drogba has been awarded with a Barclays Spirit of the game trophy . The Chelsea forward has been honoured for his charity work in Africa . The 37 - year - old hopes to inspire the next generation of footballers in Africa to fall in love with the game . The Ivorian has set up the ` Didier Stogba Foundation in Africa ' . The foundation provides financial and material support in education and health as well as a medical clinic in his hometown of Abidjan . Chelsea's stars raised # 400,000 for the foundation at a charity ball earlier this month .",Didier Drogba given an award.,Didier Drogba given Barclays Spirit of the Game Award.,Didier Drogba was a 37 year old.,Didier Drogba's foundation has done impressive work.,Didier Drogba's foundation has done work in Africa.,Some of Chelsea's stars attended a charity ball.,"The charity ball raised 400,000.",Click here for all the latest Chelsea News .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,n,p,n,n,{},,
13,338GLSUI57ZYELIPSWN67NY4O9TSF7,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:39 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:39 PDT 2020,,,3MRNMEIQWAUHY86X8J0GWLDAJH0LDC,A19LVWX8ZLO6CS,Submitted,2020-05-23 23:36:06,2020-05-23 23:36:48,Tue May 26 23:36:48 PDT 2020,,,,42,0% (0/0),0% (0/0),0% (0/0),cnndm4315,unilm_out_v2,"['1184', '1185', '1186', '1187', '1188', '1189', '1190', '1191', '1192', '1193', '1194', '1195', '1196', '1197', '1198', '1199']",The sports brand features prominently on a leaflet distributed in Raqqa . It warns Isis Jihadis about items of clothing they are no longer allowed to wear . News comes shortly after one militant compared brand's name to Christian cross .,Jihadis face fines fines for wearing Nike products.,Jihadis face whipping for wearing Nike products.,Jihadis face jail time for wearing Nike products.,Jihadis have banned Nike products.,Ban is due to the brand name.,The Nike brand name is shared with a Greek goddess.,Ban is also due to how the brand name sounds in Arabic.,The brand name sounds like sexual slang words in Arabic.,People under ISIS are already banned from wearing jeans.,ISIS also banned items of clothing carrying provocative language or swear words.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
14,33J5JKFMLAMRLTNJGXXZBEU63V3Q37,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:35 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:35 PDT 2020,,,3B1NLC6UG4KA1DVM21UVJNPR1JKGPI,A2BCNRHZU9V7C4,Submitted,2020-05-24 00:00:54,2020-05-24 00:13:17,Wed May 27 00:13:17 PDT 2020,,,,743,0% (0/0),0% (0/0),0% (0/0),cnndm11355,unilm_out_v2,"['944', '945', '946', '947', '948', '949', '950', '951', '952', '953', '954', '955', '956', '957', '958', '959']",Ao Nang Princess 5 ferry exploded and caught fire off Thailand's southwestern coast . 12 - year - old Israeli girl was thought to have been in the toilet at the time . Passengers threw themselves into the Andaman Sea after engine exploded .,The ferry is Ao Nang Princess 5 Ferry.,Ferry was in Andaman Sea.,Ferry was on its way from resort of Krabi.,Ferry was travelling to Phuket.,Ferry was five miles from the coast.,Ferry's engine exploded.,Ferry is a 35-metre-long boat.,Ferry caught fire around 3.30 pm.,Ferry sank around 6 pm.,Passengers were seen throwing themselves overboard.,Passengers were rescued.,"No injuries reported, but a girl is missing.",Search will continue into tomorrow for missing girl.,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,n,n,p,n,n,n,{},,
16,341YLJU22MNPJD3HZPELJ2YS67N2I6,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:59:34 PDT 2020,2,BatchId:4050588;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:59:34 PDT 2020,,,37M28K1J0V1D5BFLLOX1Q5SCUPXJA5,A12ATVBE1I4567,Submitted,2020-05-23 23:13:16,2020-05-23 23:33:57,Tue May 26 23:33:57 PDT 2020,,,,1241,0% (0/0),0% (0/0),0% (0/0),cnndm10595,unilm_out_v2,"['976', '977', '978', '979', '980', '981', '982', '983', '984', '985', '986', '987', '988', '989', '990', '991']",Jurgen Klopp has announced he will be leaving Borussia Dortmund at the end of the season . The 47 - year - old has been linked with a move to the Premier League . Arsenal vice-captain Per Mertesacker has backed his compatriot .,Jurgen Klopp will leave Borussia Dortmund.,Jurgen Klopp will leave at the end of the season.,Borussia Dortmund is a German team.,Jurgen Klopp enjoyed success with the club.,Jurgen Klopp had seven - year stint at the club.,Jurgen Klopp is linked with Manchester City.,Jurgen Klopp is linked with Manchester United.,Jurgen Klopp is linked with Arsenal.,Per Mertesacker made a statement about Jurgen Klopp.,Per Mertesacker would like to see Klopp in the Premier League.,Jurgen Klopp is the boss of a German club.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,p,{},,
